username,text,cleaned_text
Brooklyn_Chase,You.... me... maybe a couple hundred others  be on @camsoda at 10pm ET! https://t.co/4aauHersLS,you me maybe a couple hundred others be on at pm et
Brooklyn_Chase,You.... me... maybe a couple hundred others  be on @camsoda at 10pm ET! https://t.co/mrlYG5JDZP,you me maybe a couple hundred others be on at pm et
Brooklyn_Chase,He thinks my tractor's sexy https://t.co/jQv9xminVM,he thinks my tractors sexy
Brooklyn_Chase,He thinks my tractor's sexy https://t.co/X3SHtFxrA1,he thinks my tractors sexy
Brooklyn_Chase,Finally found my hidden talent  https://t.co/NghOwk5Fzg,finally found my hidden talent
Brooklyn_Chase,Finally found my hidden talent  https://t.co/ILq5HS5gHR,finally found my hidden talent
Brooklyn_Chase,Finally found my hidden talent https://t.co/61CtnUDS6p,finally found my hidden talent
Brooklyn_Chase,"@MaidSlotty ""Independence Day"" by Martina McBride",independence day by martina mcbride
Brooklyn_Chase,"The number of tequila shots needed for me to sing karaoke, apparently. https://t.co/IHf8RYlthv",the number of tequila shots needed for me to sing karaoke apparently
Brooklyn_Chase,"@thekatiemorgan hey babe. Can you shoot me a DM, pretty please?",hey babe can you shoot me a dm pretty please
Brooklyn_Chase,"When you gotta go, you gotta go https://t.co/GGIzD4Bsd1",when you gotta go you gotta go
Brooklyn_Chase,Hi https://t.co/LYzPcGtxYP,hi
Brooklyn_Chase,Hi https://t.co/t3fpVx22jr,hi
Brooklyn_Chase,@CamSodaLive TONIGHT. 10pm EDT. Be there. https://t.co/kc9mi4avPl,tonight pm edt be there
Brooklyn_Chase, @camsoda TONIGHT. 10pm EDT. Be there. https://t.co/wsGiwcgjHL,tonight pm edt be there
Brooklyn_Chase,Look deep into my eyes  https://t.co/BA8H5lZcv4,look deep into my eyes
Brooklyn_Chase,@dwc0760 I actually am not. Where is that coming from?,i actually am not where is that coming from
Brooklyn_Chase,Hey everyone. Sometimes life gets a little hectic and we need to prioritize. I'm going to have to step away from on... https://t.co/bEYJfUg6XY,hey everyone sometimes life gets a little hectic and we need to prioritize im going to have to step away from on
Brooklyn_Chase,"You know where to find me... so where are you? 
https://t.co/8GTIKN6MjL https://t.co/LWgmCjf8Mc",you know where to find me so where are you
Brooklyn_Chase,@industrybyrick I couldn't do it!,i couldnt do it
Brooklyn_Chase,"Well, hello  https://t.co/xhsK823WXv",well hello
