username,text,cleaned_text
MiaMalkova,I'm taking advantage of the beautiful weather [?][?] https://t.co/IIYJXP5Gw7,im taking advantage of the beautiful weather 
MiaMalkova,"Enjoying the view? 

#love #humpday https://t.co/qSrpuiXEm9",enjoying the view
MiaMalkova,"Waterfalls? Can't contain myself [?]

#MondayMotivation #waterfalls https://t.co/jR1UdhMWFj",waterfalls cant contain myself 
MiaMalkova,Please share [?] https://t.co/DDonDKH8Rw,please share 
MiaMalkova,My search history on YouTube is disturbing. https://t.co/shF4OqvKh3,my search history on youtube is disturbing
MiaMalkova,@95YSIUXcGfGGXnj Cute ,cute
MiaMalkova,@Spuunj Thanks...,thanks
MiaMalkova,@novaruu_ Precious! ,precious
MiaMalkova,"@Class Welp, this is awkward.",welp this is awkward
MiaMalkova,@sirlolzthe3rd LENNNNNNY??!!,lennnnnny
MiaMalkova,@conflictjunki3 https://t.co/xXkkodqkzm,
MiaMalkova,@PleaseBexcited Not Barney! ,not barney
MiaMalkova,@STCJack @YourKidGenius I don't know what to say ,i dont know what to say
MiaMalkova,@JanKrieger2003 Ummmm...,ummmm
MiaMalkova,"@StraightUpMateO Sorry, he ate them [?]",sorry he ate them 
MiaMalkova,@cnrblt94 Ooooh very nice!,ooooh very nice
MiaMalkova,@BesouroDeChagas What if I... put my Minecraft bed... next to yours?,what if i put my minecraft bed next to yours
MiaMalkova,@deviantkade Omg... ,omg
MiaMalkova,@killakane604 Very pretty ,very pretty
MiaMalkova,@Yandle_ YESSSSS ,yesssss
MiaMalkova,"Do your best photoshop, there's room for whatever you want! I'll reply to the best ones 

#photoshop https://t.co/jmFK5tTcKm",do your best photoshop theres room for whatever you want ill reply to the best ones
MiaMalkova,@kristenlanae ,
MiaMalkova,"There's a reason I'm in the top 0.1% of creators on Onlyfans, find out for yourself  https://t.co/lWIs46hKxT https://t.co/JbfB7NMtby",theres a reason im in the top  of creators on onlyfans find out for yourself
MiaMalkova,"@LindseyPelas Never thought of It that way, but yes... that shit is painful!",never thought of it that way but yes that shit is painful
MiaMalkova,"A long time ago, in a galaxy far, far, away...

#MayThe4thBeWithYou #StarWars #StarWarsDay #MayThe4th https://t.co/diSy62LufA",a long time ago in a galaxy far far away
MiaMalkova,I didn't expect to actually get everyone's sandwich orders...,i didnt expect to actually get everyones sandwich orders
MiaMalkova,@CouRageJD I miss the observatory...,i miss the observatory
MiaMalkova,"Your favorite type of sandwich?  @shotofsimone

#love https://t.co/WNxNS6WQ4g",your favorite type of sandwich
