username,text,cleaned_text
lisadaniels3,"Oh I didn't know that, thank you for that info  https://t.co/gWSepLJCE1",oh i didnt know that thank you for that info
lisadaniels3,I know I shouldn't be making this a big deal but I have an appointment to get my first vaccination and I'm so nervous   ,i know i shouldnt be making this a big deal but i have an appointment to get my first vaccination and im so nervous
lisadaniels3,"FREEFREEFREEFREE

https://t.co/DjHiXHDxN7",freefreefreefree
lisadaniels3,"FREEFREEFREEFREE

https://t.co/DjHiXHDxN7",freefreefreefree
lisadaniels3,"FREEFREEFREEFREE

https://t.co/DjHiXHDxN7",freefreefreefree
lisadaniels3,"RT @AboutVirgos: Being mutable, #Virgos are: Easy to get along with, can easily adapt, love variety, go with the flow &amp; can talk their way...", being mutable are easy to get along with can easily adapt love variety go with the flow &amp can talk their way
lisadaniels3,"TAKING ORDERS RIGHT NOW
GET A PAIR OF PANTIES WITH MY NATURAL PUSSY AROMA AND... https://t.co/JzFrDhmkmy",taking orders right nowget a pair of panties with my natural pussy aroma and
lisadaniels3,Hey guys! Big thanks today to a loyal fan who has followed me at https://t.co/31HdgGY6rI for six months! https://t.co/P1teT44OVY,hey guys big thanks today to a loyal fan who has followed me at for six months
lisadaniels3,"I love my fans, and I want to connect with you -- subscribe at https://t.co/z5aOLWWrf5! https://t.co/Sz56VcOETL",i love my fans and i want to connect with you    subscribe at 
lisadaniels3,Love my incredible fans! Today I'm saying thanks to one special fan who has been following https://t.co/xibwm7gY9F... https://t.co/fSRfSihNuF,love my incredible fans today im saying thanks to one special fan who has been following 
lisadaniels3,Someone on my profile https://t.co/kAVQzU1jkp just rebilled...how awesome is that? https://t.co/DLmrh84V6t,someone on my profile just rebilledhow awesome is that
lisadaniels3,I love getting new subscribers to https://t.co/6os2L0v1ki. Lucky me--I got another one today! https://t.co/CAKw95msIl,i love getting new subscribers to  lucky me  i got another one today
lisadaniels3,Are you ready to have fun? Subscribe at https://t.co/pKyje655jE! https://t.co/oo6hXUzoIp,are you ready to have fun subscribe at 
lisadaniels3,Love loyal fans! One of my awesome subscribers has been with me for 6 months at https://t.co/gsDD2ciEe0. Thanks for... https://t.co/WMQcYaFk8I,love loyal fans one of my awesome subscribers has been with me for months at  thanks for
lisadaniels3,Wanna see some awesome content? Subscribe to my FanCentro profile! https://t.co/InjC4qxdyU! https://t.co/nu4wdzfb8P,wanna see some awesome content subscribe to my fancentro profile 
lisadaniels3,Love my incredible fans! Today I'm saying thanks to one special fan who has been following https://t.co/xibwm7gY9F... https://t.co/6G7jEpY2eb,love my incredible fans today im saying thanks to one special fan who has been following 
lisadaniels3,A lovely someone rebilled on my personal profile https://t.co/RW4YX7le2P. (happy sigh) https://t.co/xheFIUJeCj,a lovely someone rebilled on my personal profile  happy sigh
lisadaniels3,Are you ready to have fun? Subscribe at https://t.co/pKyje655jE! https://t.co/07N5oLNgR2,are you ready to have fun subscribe at 
lisadaniels3,One fan just put a big smile on my face -- they've been loyal to https://t.co/Ls3XFJlf8l for six months! Thank you! https://t.co/ahtZcz5yb3,one fan just put a big smile on my face    theyve been loyal to for six months thank you
lisadaniels3,"RT @lisadaniels3: GIVING YOU 3 MONTHS FOR FREE FOR MY MAIN PAGE LINK ON MY BIO    

https://t.co/DjHiXHDxN7 https://t.co/aNAbMt...", giving you months for free for my main page link on my bio 
lisadaniels3,MAKE SURE TO GO WITH MY GIRL A HAPPY BIRTHDAY  @babyjxo21 https://t.co/UkB6RHTpRz,make sure to go with my girl a happy birthday
lisadaniels3,RT @babyjxo21: Surprise!!! my birthday is tomorrow!!!  Come wish me a happy birthday below  https://t.co/dSqzLnSfog, surprise my birthday is tomorrow come wish me a happy birthday below
lisadaniels3,Hey! My super exclusive content is waiting for you at https://t.co/tln4l17kCL. Subscribe today! https://t.co/FKNFDGCUeA,hey my super exclusive content is waiting for you at  subscribe today
lisadaniels3,My girl from school has her onlyfans set up and is celebrating her birthday  please go wish her a happy birthday a... https://t.co/lEIYVM7ALR,my girl from school has her onlyfans set up and is celebrating her birthday please go wish her a happy birthday a
lisadaniels3,@babyjxo21 My girl from school has her onlyfans set up and is celebrating her birthday  please go wish her a happy... https://t.co/qLKIR4DxxG,my girl from school has her onlyfans set up and is celebrating her birthday please go wish her a happy
lisadaniels3,"Six months is a long time, and that's how long one loyal fan has been following me -- thanks so much!... https://t.co/tfTnvBt8jn",six months is a long time and thats how long one loyal fan has been following me    thanks so much
lisadaniels3,"GIVING YOU 3 MONTHS FOR FREE FOR MY MAIN PAGE LINK ON MY BIO    

https://t.co/DjHiXHDxN7 https://t.co/aNAbMt5YSX",giving you months for free for my main page link on my bio
lisadaniels3,"ARE YOU INTERESTED IN PURCHASING A PAIR OF MY USED PANTIES ?????/
GET A PAIR O... https://t.co/JzFrDhmkmy",are you interested in purchasing a pair of my used panties  get a pair o
lisadaniels3,DM ME IF YOUR READY TO HAVE YOUR BALLS DRAINED  https://t.co/JzFrDhmkmy,dm me if your ready to have your balls drained
lisadaniels3,"I love my fans, so subscribe at https://t.co/yaPe3igiGs to find out what I have to offer! https://t.co/JouNeI0csK",i love my fans so subscribe at to find out what i have to offer
lisadaniels3,Guess what! I have a subscriber who has stayed with me for 6 months at https://t.co/cCJBeaZITs. Thanks for the loya... https://t.co/2dcMqL5nvb,guess what i have a subscriber who has stayed with me for months at  thanks for the loya
lisadaniels3,"You just found your lucky charm, and it's better than a pot of gold. 3 month FREE access to  Main page only Ava... https://t.co/SKS4LXq4TZ",you just found your lucky charm and its better than a pot of gold month free access to main page only ava
lisadaniels3,I love to see my fans at https://t.co/Vt78k9vNHW! Treat yourself and subscribe today! https://t.co/InLqZIDIwX,i love to see my fans at  treat yourself and subscribe today
lisadaniels3,I work hard so my fans will stick around. Big thanks to one loyal fan who's been following https://t.co/ZR2K5sGc55... https://t.co/bblukBbNmw,i work hard so my fans will stick around big thanks to one loyal fan whos been following 
lisadaniels3,Get exciting updates every day on https://t.co/3ucgLcwSwk! https://t.co/XNuWSM6uhK,get exciting updates every day on 
lisadaniels3,I've got the best fans! One loyal supporter has been with https://t.co/4z15xHyuzF for 6 months! Thank you! https://t.co/6eiUf6QRwN,ive got the best fans one loyal supporter has been with for months thank you
lisadaniels3,#NewProfilePic https://t.co/FPpphuuNeV,
lisadaniels3,Enjoy my private content at https://t.co/wMu4Qsjz9y. You won't be sorry -- subscribe now! https://t.co/lNNJmcY9o6,enjoy my private content at  you wont be sorry    subscribe now
lisadaniels3,I've got the best fans! One loyal supporter has been with https://t.co/4z15xHyuzF for 6 months! Thank you! https://t.co/76jXBZ5dc7,ive got the best fans one loyal supporter has been with for months thank you
lisadaniels3,Are you ready to have fun? Subscribe at https://t.co/pKyje655jE! https://t.co/Sae7kR5EPI,are you ready to have fun subscribe at 
lisadaniels3,&lt;Waving&gt; Hey loyal fan! Thanks for sticking by me for six months! https://t.co/xQFrHtGNJT https://t.co/9ErHxZB055,&ltwaving&gt hey loyal fan thanks for sticking by me for six months
lisadaniels3," GET 3 FREE MONTHS
 GET A FREE VIDEO 

LINK ON BIO      https://t.co/WrR1f1Rc6S",get free months get a free video link on bio
lisadaniels3,"Follow my sexy girlfriend. She just created her first  only fan's page, go check her out and let me know if I shoul... https://t.co/q3woDznaRJ",follow my sexy girlfriend she just created her first only fans page go check her out and let me know if i shoul
lisadaniels3,Do you want access to my most exclusive content? Subscribe to my FanCentro profile here at https://t.co/OiWJwKqwnF https://t.co/a68mk40USA,do you want access to my most exclusive content subscribe to my fancentro profile here at
lisadaniels3,Celebrating six months of loyalty from one follower today! Thanks for your support! https://t.co/tkksv8Wzf9 https://t.co/BzyTLuN5kQ,celebrating six months of loyalty from one follower today thanks for your support
lisadaniels3,I'm all about my fans -- subscribe and check me out at https://t.co/f4HGyhVVTp. You'll be glad you did! https://t.co/0TcBdDDTcA,im all about my fans    subscribe and check me out at  youll be glad you did
lisadaniels3,"Six months is a long time, and that's how long one loyal fan has been following me -- thanks so much!... https://t.co/m7f5JLjI4N",six months is a long time and thats how long one loyal fan has been following me    thanks so much
lisadaniels3,My personal FanCentro profile https://t.co/yt2AOi4atn has a lot to offer. Come see it now! https://t.co/6uJJI5ted2,my personal fancentro profile has a lot to offer come see it now
lisadaniels3,3 FREE MONTHS + FREE GIFT  FOR MY MAIN PAGE HURRY  LINK ON BIO https://t.co/pWE4G1aE7N,free months + free gift for my main page hurry link on bio
lisadaniels3,3 FREE MONTHS + FREE GIFT  FOR MY MAIN PAGE HURRY  LINK ON BIO https://t.co/s0QniUXt9o,free months + free gift for my main page hurry link on bio
lisadaniels3,Wanna see some awesome content? Subscribe to my FanCentro profile! https://t.co/InjC4qxdyU! https://t.co/ekletZAk7q,wanna see some awesome content subscribe to my fancentro profile 
lisadaniels3,Another awesome subscriber just rebilled on https://t.co/VWhZLyoV36. I can't wait to show you what's next! https://t.co/UoWT8WHckJ,another awesome subscriber just rebilled on  i cant wait to show you whats next
lisadaniels3,Subscribe to follow me and my adventures on my personal profile https://t.co/j9UMRaSl3l! https://t.co/Qui0M3cAWn,subscribe to follow me and my adventures on my personal profile 
lisadaniels3,Why am I smiling? Because I've got a loyal fan who's been following https://t.co/YyFuzHBwCc for six months. Thanks... https://t.co/5W1r4XXOu4,why am i smiling because ive got a loyal fan whos been following for six months thanks
lisadaniels3,My profile https://t.co/7VCie8BdeM has a new subscriber who can now enjoy exclusive stuff! https://t.co/8fw9MaU2jG,my profile has a new subscriber who can now enjoy exclusive stuff
lisadaniels3,It was here in simi 3.2 earthquake @NinaElleXoXo https://t.co/OvcVdIbml0,it was here in simi earthquake
lisadaniels3,I think so I just felt that @NinaElleXoXo https://t.co/VmouEIEMOi,i think so i just felt that
lisadaniels3,YOU could be my newest subscriber at https://t.co/ycjMd5OolT! I'm waiting to say hello. https://t.co/KfjPuLKtVh,you could be my newest subscriber at  im waiting to say hello
lisadaniels3,"When my fans are happy, so am I -- I'd like to thank the loyal fan who has been with me for six months :)... https://t.co/GD8ltmRdCt",when my fans are happy so am i    id like to thank the loyal fan who has been with me for six months 
lisadaniels3,Another rebill on my personal profile https://t.co/PQZXewj1ZI by a loyal fan! ;) https://t.co/FT5lUaBIHF,another rebill on my personal profile by a loyal fan
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,"RT @lisadaniels3: FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ", free free freefree video + free accesslink on my bio
lisadaniels3,"RT @lisadaniels3: FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ", free free freefree video + free accesslink on my bio
lisadaniels3,"RT @lisadaniels3: FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ", free free freefree video + free accesslink on my bio
lisadaniels3,I'm all about my fans -- subscribe and check me out at https://t.co/f4HGyhVVTp. You'll be glad you did! https://t.co/WaIL8k5e2P,im all about my fans    subscribe and check me out at  youll be glad you did
lisadaniels3,"RT @lisadaniels3: FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ", free free freefree video + free accesslink on my bio
lisadaniels3,"RT @LisaAndVanessa: #TittyTuesday #Lesbian 

 @lisadaniels3 
  Tiffany Taylor 

#SexyWomen #GirlsonGirls #GirlsKissingGirls #GirlsW...", tiffany taylor 
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,I've got the best fans! One loyal supporter has been with https://t.co/4z15xHyuzF for 6 months! Thank you! https://t.co/jYsOZOkQ6E,ive got the best fans one loyal supporter has been with for months thank you
lisadaniels3,"FREE FREE FREE
FREE VIDEO + FREE ACCESS
link on my bio      ",free free freefree video + free accesslink on my bio
lisadaniels3,I love to see my fans at https://t.co/Vt78k9vNHW! Treat yourself and subscribe today! https://t.co/ALmcw2oCvY,i love to see my fans at  treat yourself and subscribe today
lisadaniels3,"GET 1 FREE MONTH  ACCESS 
GET 1 FREE SEX VIDEO
GET FREE TRIAL LINK ON MY BIO NOW         https://t.co/YfnYXdHPi6",get free month access get free sex videoget free trial link on my bio now
