username,text,cleaned_text
thebonnierotten,Maschinenpistole 5  https://t.co/w69NekGta2,maschinenpistole
thebonnierotten,Just posted a photo https://t.co/Va2QXny4CZ,just posted a photo
thebonnierotten,"Mood board for the day: 
Headin down south 
I'm feeling happy today
Shabbat shalom to everyone 
Praying for Israe... https://t.co/UMeIIXrhMr",mood board for the day headin down south im feeling happy todayshabbat shalom to everyone praying for israe
thebonnierotten,"It's time  @ Beverly Hills, California https://t.co/34dqghcX0j",its time beverly hills california
thebonnierotten,"My  is with Israel  in these horrible times may you get through this with strength and protection 

Shema Yisra... https://t.co/lmCLxgKHX8",my is with israel in these horrible times may you get through this with strength and protection shema yisra
thebonnierotten,"Just posted a photo @ Beverly Hills, California https://t.co/NynyVSwpet",just posted a photo beverly hills california
thebonnierotten,"Ready for summer? I know I am in my it's bitsy teeny weeny spiderweb string bikini! 

You can shop this bikini n... https://t.co/V11dUBXiRh",ready for summer i know i am in my its bitsy teeny weeny spiderweb string bikini you can shop this bikini n
thebonnierotten,"And just like that I'm another year wiser.  @ Beverly Hills, California https://t.co/VsgqcU88eN",and just like that im another year wiser beverly hills california
thebonnierotten," @ Beverly Hills, California https://t.co/TDYIdJpe4m",beverly hills california
thebonnierotten,"Just posted a photo @ Beverly Hills, California https://t.co/auQvW3SKgt",just posted a photo beverly hills california
thebonnierotten,"Let me ride the cosmic vehicle of your soul  @ Beverly Hills, California https://t.co/jbllK3mc1E",let me ride the cosmic vehicle of your soul beverly hills california
thebonnierotten,"Just posted a photo @ Beverly Hills, California https://t.co/OEvhNzEgXL",just posted a photo beverly hills california
thebonnierotten," wishing everyone a great weekend @ Beverly Hills, California https://t.co/0azJ54VEp1",wishing everyone a great weekend beverly hills california
thebonnierotten,"Which do you prefer.. leather or lace?  @ Beverly Hills, California https://t.co/dVB3y889gx",which do you prefer leather or lace beverly hills california
thebonnierotten,"If you could choose any planet to live on besides earth which one would you choose?  

I think I would choose plan... https://t.co/53AvL9uF3y",if you could choose any planet to live on besides earth which one would you choose i think i would choose plan
thebonnierotten,RT @PrincessHelayna: Hii want me to get naked?  https://t.co/srKf3hqjjz, hii want me to get naked
thebonnierotten,RT @Aruwba: Would you start from the bottom or the top?  https://t.co/x1ji4SFwkJ, would you start from the bottom or the top
thebonnierotten,RT @thebonnierotten: When in doubt titty out!  https://t.co/DPTbRJgTZ6, when in doubt titty out
thebonnierotten,@cdxliv444 what jacket? ,what jacket
thebonnierotten,When in doubt titty out!  https://t.co/DPTbRJgTZ6,when in doubt titty out
thebonnierotten,Come on in...  https://t.co/0BfJ1NGAX3,come on in
thebonnierotten,"Off today to Texas heading to the @texas_3gun_championship ! 
Im so exciteddddddd ! Who is going? 

#3gun #texas... https://t.co/gHLXoSNYaa",off today to texas heading to the  im so exciteddddddd  who is going 
thebonnierotten,@BlakelyBunny medium with a side order of fries,medium with a side order of fries
thebonnierotten,How's everyone feeling today?  https://t.co/q5YEAvpgpd,hows everyone feeling today
thebonnierotten,@LizbethEden Thank you!! I was definitely feeling like a mermaid lol,thank you i was definitely feeling like a mermaid lol
thebonnierotten,Enjoying the view? https://t.co/LkeAJjCIuh,enjoying the view
thebonnierotten,@skoolysteve i am,i am
thebonnierotten,Where are you taking me for our first date?  https://t.co/UnZcO6u29K,where are you taking me for our first date
thebonnierotten,"Get in dummy let's go on an adventure  @ Beverly Hills, California https://t.co/YoFgAckVmA",get in dummy lets go on an adventure beverly hills california
thebonnierotten,"Tell me 3 snacks that you have to get at the grocery store every time you go ...

Mine are.. peanut m&amp;ms, poptarts,... https://t.co/KMzNrWwkPk",tell me snacks that you have to get at the grocery store every time you go mine are peanut m&ampms poptarts
thebonnierotten,"Raise your hand if your ready for pool season! 

 @ Beverly Hills, California https://t.co/8Xmkl1XM5G",raise your hand if your ready for pool season beverly hills california
thebonnierotten," 
Grateful for all the love and blessings I receive. Even the hardships have a lesson involved that can envelo... https://t.co/yd32NTQUCy",grateful for all the love and blessings i receive even the hardships have a lesson involved that can envelo
thebonnierotten,What are we learning about today class?  https://t.co/Ku7PQ5eazi,what are we learning about today class
thebonnierotten,"Let's get out of here!  #berotten

Where do you want to go? @ Los Angeles, California https://t.co/yf867qmYpC",lets get out of here do you want to go los angeles california
