username,text
G2Jankos,Holy shit that ending. Finally MSI is hype AF
G2Jankos,RT @G2esports: Jungle Diff @G2Jankos https://t.co/NRILN5RpEM
G2Jankos,@Ziemowitlol Wszystkiego najlepszego z okazji urodzin 
G2Jankos,@runegmiss @Froskurinn @TLCoreJJ @MedicCasts @G2Mikyx @VulcanLoL @JaponeLoL @sjokz @UmTi0602 @armutlol @Carzzylol... https://t.co/CW5JNLAPVm
G2Jankos,"Still works on new patch 

https://t.co/qDnZ445nyw https://t.co/as1pzqK6d0"
G2Jankos,"I should thank Riot for changing my role in the middle of the season. If I got jungle diffed last playoffs, maybe i... https://t.co/GaiOpES3h6"
G2Jankos,"Post-MSI horror night, playing Visage

https://t.co/QbymZIzAR1 https://t.co/WbP3ajBYXy"
G2Jankos,"I'm really happy Grabz is at the MSI desk today. I don't have to listen to his talking during scrimms, while also k... https://t.co/HIh388Hfy0"
G2Jankos,@C9Perkz First beating DK then preaching the truth
G2Jankos,"Can't stream today, forgot I had someone come fix stuff in my flat and scrimm after. Go enjoy MSI instead "
G2Jankos,@Andrezhii @G2esports @CarlosR @G2GrabbZ @G2Mikyx @G2Wunder @G2Caps @RekklesLoL Happy bday buddy 
G2Jankos,"There was no League on stream, but there's League on YT 

https://t.co/k9i9ZZwolk https://t.co/OFkUOwO78a"
G2Jankos,"Finishing up RE:Village today, then some League action

https://t.co/QbymZIzAR1 https://t.co/2AYdAwrrRw"
G2Jankos,"RT @kuevi_uvu: Thank you for the stream, please play tlou next time I really enjoyed it https://t.co/YnDjyi3HRd"
G2Jankos,@kuevi_uvu  very true. Chat filthy liars https://t.co/6wSBSoKBTM
G2Jankos,"We are going to do RE:Village play through today. Variety Jankos yay 

https://t.co/QbymZIzAR1 https://t.co/PjykW8qkO2"
G2Jankos,"I'm not sure if it started being shown later, but it would be really awesome to see post-teamfight damage done duri... https://t.co/2QIMDEfa91"
G2Jankos,Had a lot of fun live viewing today. I'll see you tomorrow for some more action 
G2Jankos,MSI starts today  See you at 3pm for C9 vs DK
G2Jankos,"RT @G2esports: WE'RE GOING TO MSI... Wait...

Presented by @secretlabchairs https://t.co/BydDRVlLhG"
G2Jankos,@Martingexlol @RekklesLoL @Carzzylol @G2Wunder @G2Caps @G2Mikyx @pankyyLoL @Zeitnotlol @armutlol @BrokenBlade... https://t.co/k5fpJLcJdm
G2Jankos,"I couldn't win spring split, but at least I won the clash 

https://t.co/eZ1oqwk5Gq https://t.co/M8lwKUVcTe"
G2Jankos,@NetflixGeeked @LeagueOfLegends Finally 
G2Jankos,"I think Miky would make a bank being a hot tub streamer

https://t.co/3ITLQnkjjk https://t.co/ILrpQpK6yY"
G2Jankos,@haraldonovan What did I just watch https://t.co/PFrnGm0U2d
G2Jankos,RT @G2esports: Cameraman got PvP'd by @G2Wunder  https://t.co/yTIfZXkMCx
G2Jankos,You could win a jersey signed by me and Miky  (mainly Miky) https://t.co/TQ4i07oI5u
G2Jankos,I'll save everyone https://t.co/FoIJEyxtu1
G2Jankos,"RT @G2esports: No internet, @G2Jankos driving, Martins everywhere... https://t.co/EOJjOdv48X"
G2Jankos,@crafty0art @G2Mikyx @RekklesLoL @G2esports I'm fine https://t.co/ekYN7CYvWM
G2Jankos,@kostiians I have to steal this for my insta story 
G2Jankos,"MSI patch is out! Well, not like it's relevant for me 

https://t.co/gAPy3R4PhA https://t.co/NguLT5DQn3"
G2Jankos,@weronixy @G2esports @CarlosR Thank you 
G2Jankos,@_jordanmatt @AngelArcherLoL @RekklesLoL @G2Mikyx @G2Caps @DuffmanLoL @G2Wunder @Quickshot @sjokz Haapppyyyy birthday !
G2Jankos,I love waking up early to exercise just to lay on the couch for next hour being too lazy 
G2Jankos,"I'd say my Yone is as good as my Nidalee

https://t.co/kvxXkMI9Ht https://t.co/OSSJaj5YSi"
G2Jankos,@kostiians @G2Mikyx @G2esports Chad
G2Jankos,@JuliYainikoskii @G2Wunder Happy bday  No need for the other part
G2Jankos,@LoLDopamin @CaptainFlowers @RiotAzael @C9Perkz @Fudgecakey @VulcanLoL @esports_kobe @Zven @blaber @CarlosR @G2Caps... https://t.co/w65ULiMPB3
G2Jankos,@hyukohoes Happy bday! 
G2Jankos,@linuswongkf @G2Caps @G2Mikyx @G2Wunder @RekklesLoL @C9Perkz @AngelArcherLoL @G2GrabbZ @DuffmanLoL @CarlosR... https://t.co/v9VBPA2062
G2Jankos,.@G2Mikyx https://t.co/jcjnd1MUHu
G2Jankos,"Even though I'm not streaming, you are so lucky I'm also an YouTuber 

https://t.co/Pmq1XtjdBf https://t.co/nKkNhxOpMW"
G2Jankos,I'm too lazy to stream today. Will go visit my parents and be back tomorrow for some League action 
G2Jankos,"RT @G2esports: Baby @G2Jankos showing potential 

Your favorite mid/jungle duo is here to react to the #G2ARMY's challenger gameplay, pres..."
G2Jankos,"JG Diana is so broken 

https://t.co/ROLjkqNnQP https://t.co/K1VvHbJ2ud"
G2Jankos,LPL finals lets go 
G2Jankos,@TheRealBoscoG @C9Perkz @sjokz @LaureBuliiV @endercasts @Vedius @DanielDrakos @MedicCasts @Quickshot @Caedrel Happy bday!
G2Jankos,@G2neilzinho @CarlosR @G2esports Damn I just came back home but I already miss his cooking 
G2Jankos,Sadge https://t.co/Sl33zBjk2s
G2Jankos,"Patch rundown from top 3 jungler in Europe 
https://t.co/d6WcKIOv22 https://t.co/kns9U3I8xa"
G2Jankos,@AdamBednar3 @4lycat @G2Caps @MedicCasts @RekklesLoL @DanielDrakos @LaureBuliiV Happy bday! 
