username,text,cleaned_text
GeT_RiGhT,"More important things, when can I watch the love birds go live again? #YADINHO https://t.co/SVKv6bcLQH",more important things when can i watch the love birds go live again
GeT_RiGhT,Time*,time*
GeT_RiGhT,So what's the issue with the game? People have been waiting for this game for some while now...,so whats the issue with the game people have been waiting for this game for some while now
GeT_RiGhT,@andrekenzo11 https://t.co/gma5nwKSQ9,
GeT_RiGhT,#YADINHO,
GeT_RiGhT,Okay... this blow up instantly.. I would say..,okay this blow up instantly i would say
GeT_RiGhT,What is #YADINHO?,what is 
GeT_RiGhT,@G2kennyS @Maniac_CSGO @bysTaXx https://t.co/79LaZUwkpl,
GeT_RiGhT,@G2kennyS @Maniac_CSGO @bysTaXx Oh now he's liking this post... Smh mh,oh now hes liking this post smh mh
GeT_RiGhT,"Apparently live now. 

https://t.co/jCWFhQVVKd",apparently live now
GeT_RiGhT,Mine and @kindberget beautiful ducks are having a great day in the sun! Thanks to @KrushY_Legit for helping us out... https://t.co/kruWEukL8Q,mine and beautiful ducks are having a great day in the sun thanks to for helping us out
GeT_RiGhT,https://t.co/jCWFhQVVKd,
GeT_RiGhT,"Seeing green? Then it's about time for a factory new #OneBlade! Remember to keep your beard as crisp as your aim, f... https://t.co/wy7IIwLatS",seeing green then its about time for a factory new  remember to keep your beard as crisp as your aim f
GeT_RiGhT,@G2kennyS @Maniac_CSGO @bysTaXx You know what you need? A big hug ,you know what you need a big hug
GeT_RiGhT,@Maniac_CSGO @G2kennyS It's more the question. What has he Not done?  @bysTaXx,its more the question what has he not done
GeT_RiGhT,@Maniac_CSGO @G2kennyS you feel you have something to say about yesterday.. ,you feel you have something to say about yesterday
GeT_RiGhT,"RT @sapphiReGG: Thought it was important to open people's eyes to a disgusting reality of being an #esports org or professional player. 

A...", thought it was important to open peoples eyes to a disgusting reality of being an org or professional player a
GeT_RiGhT,https://t.co/jCWFhQVVKd,
GeT_RiGhT,"@stew1eeee It's alright, had better!",its alright had better
GeT_RiGhT,@stew1eeee Just some earl grey tea!,just some earl grey tea
GeT_RiGhT,Reading twitter regarding basically anything right now and me sipping on tea  https://t.co/FEqg6J6mAs,reading twitter regarding basically anything right now and me sipping on tea
GeT_RiGhT,@helloiamzeynep @tabseNcs @BewbewDingo wow,wow
GeT_RiGhT,@TimMEsports Actually a pretty good one tbh,actually a pretty good one tbh
GeT_RiGhT,@Entropiqteam @McDonalds HOW DO I PRONOUNCE YOUR NAME THO??,how do i pronounce your name tho
GeT_RiGhT,"Food for thought 

Sometimes it's good to lose games to just let out some steam 

Also,

To get an better understan... https://t.co/kJYZj4Z3kq",food for thought sometimes its good to lose games to just let out some steam alsoto get an better understan
GeT_RiGhT,@Mod645 https://t.co/Vfaw6VQBsO,
GeT_RiGhT,@Mod645 https://t.co/acNPV5c5TD,
GeT_RiGhT,For anyone wondering why I'm not playing right now is because my internet went down and somehow expected to be back at 15/17 ,for anyone wondering why im not playing right now is because my internet went down and somehow expected to be back at  17
GeT_RiGhT,"@MonteCristo @Flashpoint @TomD1abloNewman Oh. My. 

That's why I even felt in the core of my soul, fucking miss tho... https://t.co/LcMK0gCHRD",oh my thats why i even felt in the core of my soul fucking miss tho
GeT_RiGhT,"@MonteCristo @Flashpoint Hahah.. don't make me remember that smoke bomb man!!  

For sure, everything is so much b... https://t.co/tP7TPrg0j6",hahah dont make me remember that smoke bomb man for sure everything is so much b
GeT_RiGhT,@Flashpoint So... you guys fixing me a cool profile picture as well now? https://t.co/4h4DfxkvPr,so you guys fixing me a cool profile picture as well now
GeT_RiGhT,https://t.co/uybkzdORZi,
GeT_RiGhT,"Just saw the @Flashpoint intro, holy F that was freaking awesome one! ",just saw the intro holy f that was freaking awesome one
GeT_RiGhT,"Fun to be back, chill and sweet time~ cya guys tomorrow &lt;3",fun to be back chill and sweet time~ cya guys tomorrow &lt3
GeT_RiGhT,"How do I do this again?

https://t.co/jCWFhQVVKd",how do i do this again
GeT_RiGhT,@nick_utd7 I'm pretty sure @NIP could have some hidden treasures somewhere,im pretty sure could have some hidden treasures somewhere
GeT_RiGhT,Undra om r60 hade funkat nu for tiden..,undra om r60 hade funkat nu for tiden
GeT_RiGhT,@fl0mtv @MythicRebornGG @freehitboy Hitboy at the moment https://t.co/l00JynCHDu,hitboy at the moment
GeT_RiGhT,@fl0mtv @MythicRebornGG Where's my spot ,wheres my spot
GeT_RiGhT,@fl0mtv God,god
GeT_RiGhT,"Sorry about that, should have plan it better! Gonna try out that experiment a bit more~ maybe back tomorrow otherwi... https://t.co/Bs8ueTcxiL",sorry about that should have plan it better gonna try out that experiment a bit more~ maybe back tomorrow otherwi
GeT_RiGhT,"Weird time to start the stream, but have other things to do this evening! 

https://t.co/jCWFhQVVKd",weird time to start the stream but have other things to do this evening
GeT_RiGhT,Returning the streaming tomorrow with a earlier one than usual as well,returning the streaming tomorrow with a earlier one than usual as well
GeT_RiGhT,@CarlosR @G2pyth @G2esports https://t.co/R4uIBvLDdK,
GeT_RiGhT,@G2pyth @G2esports @CarlosR I've been watching some old videos from you recently.. good ones!,ive been watching some old videos from you recently good ones
GeT_RiGhT,@G2esports @CarlosR Where is the Swedish one? I gotta support @G2pyth,where is the swedish one i gotta support
GeT_RiGhT,I haven't missed delays in officials at least... Or broken servers either  how's your Thursday?,i havent missed delays in officials at least or broken servers either hows your thursday
