username,text
RekklesLoL,RT @G2esports: Cameraman got PvP'd by @G2Wunder  https://t.co/yTIfZXkMCx
RekklesLoL,Thanks for watching my Porofessor stream yesterday  https://t.co/H15ZFo5zaY https://t.co/k833goU39s
RekklesLoL,"RT @G2esports: No internet, @G2Jankos driving, Martins everywhere... https://t.co/EOJjOdv48X"
RekklesLoL, https://t.co/XLAge4Sl0q
RekklesLoL,"RT @G2esports: We're here for the crown 

TOMORROW | 17:00 CEST https://t.co/7kDn2xE9rm"
RekklesLoL,"RT @G2esports: WE FINALLY HAVE OUR OWN MANGA

Read the first #HeroesofRivalry chapter NOW 

https://t.co/TFuGrElglr https://t.co/E7mc7r6UwB"
RekklesLoL,RT @G2esports: Might be time to bring back Shoeless... @RekklesLoL https://t.co/TwNO9aJI6O
RekklesLoL,"RT @G2esports: Run, @G2Wunder, Run!  https://t.co/TLvsNWUFma"
RekklesLoL,"RT @G2esports: Can you run it down in a manga? 

Keep an eye on @BMWEsports, this is the manga you don't want to miss #HeroesofRivalry htt..."
RekklesLoL,RT @G2esports: Welcome G2 sOAZ https://t.co/ZPUJHwdfr5
RekklesLoL,RT @G2esports: Missing Smites AND bans  https://t.co/I82roOfXlg
RekklesLoL,RT @lolesports: POV: you're up against Rekkles https://t.co/C30SnALYmi
RekklesLoL,@OTP_LoL 
RekklesLoL,Banger https://t.co/w4gzc4NKqC
RekklesLoL,RT @G2esports: You really thought @RekklesLoL couldn't be a memer?  https://t.co/POnzk9g23q
RekklesLoL,"RT @G2esports: Seems like Miky was a fan of the autotune @Vedius @endercasts 

Watch our guys' reaction to LEC's latest single! https://t...."
RekklesLoL, https://t.co/5Pv19Nt5dg
RekklesLoL,"RT @G2esports: #G2ARMY = Faker, confirmed by @G2Jankos 

EU's best is here to react to YOUR plays, presented by @LenovoLegion! https://t.c..."
RekklesLoL,RT @G2esports: Successfully inted draft  https://t.co/8FLe2nmwYW
RekklesLoL,RT @G2esports:  THIS IS FINE  https://t.co/rg227X1k1K
RekklesLoL,RT @lolesports: .@G2esports secure 1st Place in the #LEC Regular Season! https://t.co/m7ivkXW3Kn
