username,text
JoeBiden,"RT @POTUS: This is our moment to build an economy that works for everyone -- not just the super-wealthy and giant corporations. 
 
Let's get..."
JoeBiden,The CDC announced that they are no longer recommending that fully vaccinated people need to wear masks. https://t.co/pFhJEtBepq
JoeBiden,"This was made possible by the extraordinary success we've had in vaccinating so many Americans, so quickly. https://t.co/gTwM6Tp7lF"
JoeBiden,"After a year of hard work and so much sacrifice, the rule is now simple: get vaccinated or wear a mask until you do."
JoeBiden,Getting vaccinated is easier than ever. You can find a vaccine site near you by texting your ZIP code to 438829.
JoeBiden,"Today is a great day for America in our long battle with COVID-19. 

Just a few hours ago, the CDC announced they a... https://t.co/Q1CLaXg0Oe"
JoeBiden,"RT @WhiteHouse: Big news from the CDC: If you're fully vaccinated, you do not need to wear a mask - indoors or outdoors, in most settings...."
JoeBiden,RT @POTUS: My Administration has mobilized a whole-of-government response to get more fuel quickly and safely to where it is needed and to...
JoeBiden,Getting a COVID-19 vaccine has never been easier. Go to https://t.co/EwdQ2dFHwG to find a location near you.
JoeBiden,"RT @POTUS: Tomorrow we will cross 250 million vaccine shots administered since we took office. 

It's a truly remarkable achievement for th..."
JoeBiden,We're vaccinating the nation. We're creating hundreds of thousands of jobs. We're delivering real results people ca... https://t.co/nugYnlCLMX
JoeBiden,RT @POTUS: We're working hard to ensure transportation is less of a barrier when it comes to getting a COVID-19 vaccine. And I'm excited to...
JoeBiden,"The American Families Plan addresses four of the biggest challenges facing American families:
Access to a good edu... https://t.co/cDjlX5Fpih"
JoeBiden,RT @POTUS: This has been an extraordinarily tough year for moms across this country. To all the moms who have carried us through this pande...
JoeBiden,"To moms everywhere, wishing you a safe and happy Mother's Day. 

Share your favorite quote from your mother below. https://t.co/6gZ1siDh5y"
JoeBiden,Nearly 90% of the infrastructure jobs created in the American Jobs Plan don't require a college degree. It's a blue... https://t.co/JOHfqBXw2h
JoeBiden,RT @POTUS: I am proud of the people I go to work with at the White House every day -- but my pride can't hold a candle to that of their moth...
JoeBiden,"Since the beginning of our administration, the economy has added more than 1.5 million jobs. 

We've still got work... https://t.co/85Csk8L1MY"
JoeBiden,RT @POTUS: Tune in as I discuss the April jobs report. https://t.co/BUZiB5w1gj
JoeBiden,RT @WhiteHouse: This week we launched the Restaurant Revitalization Fund to provide direct relief to restaurants and other hard-hit food es...
JoeBiden,"RT @POTUS: If we want our economy to recover in a way that deals everyone in, then our restaurants need a seat at the table -- with the Amer..."
JoeBiden,RT @POTUS: Our goal by July 4th is to have 70% of adult Americans with at least one shot -- and 160 million Americans fully vaccinated. It's...
JoeBiden,"Georgia, when you sent @Ossoff and @ReverendWarnock to the Senate, you made history. Thank you. https://t.co/47KY4Tm9hv"
JoeBiden,RT @POTUS: Teachers are an extraordinary force for good in our nation -- I'm lucky enough to be married to one and have seen firsthand how h...
JoeBiden,"America is on the move again. 

We are choosing hope over fear. 
Truth over lies. 
Light over darkness. 

There's n... https://t.co/huOShztjvT"
JoeBiden,Democracy can deliver for the American people. https://t.co/UZ4BDIVoPf
JoeBiden,"RT @TheDemocrats: Elections make a difference. Thank you, Georgia. https://t.co/hKn1vIIr7Y"
JoeBiden,"RT @POTUS: This May, during Asian American and Native Hawaiian/Pacific Islander Heritage Month, we recognize the history and achievements o..."
JoeBiden,We've never been more optimistic about the future of America. https://t.co/EBHlCb2P84
JoeBiden,"Thank you, Georgia, for everything. https://t.co/1Ci4pFJ4os"
JoeBiden,RT @POTUS: Join me at Philadelphia's 30th Street Station as we celebrate Amtrak's 50th Anniversary. https://t.co/HuPetlGvaU
JoeBiden,In Georgia with @DrBiden to celebrate the successes of the first 100 days of the Biden-Harris administration. Jobs... https://t.co/3LiCMd8sZR
JoeBiden,100 days in--and America is getting back on track.
JoeBiden,"RT @POTUS: If we are to truly restore the soul of America, then we need to protect the sacred right to vote.

Congress should pass H.R. 1 a..."
JoeBiden,"RT @POTUS: Trickle-down economics has never worked.

It's time to grow the economy from the bottom up and middle out."
JoeBiden,"RT @POTUS: 100 days ago, America's house was on fire. We had to act, so we:

- Passed the American Rescue Plan
- Administered over 200 mill..."
JoeBiden,"Together, we're getting back on track. Tune in now for our administration's first joint address to Congress. https://t.co/WWjl35N2Em"
JoeBiden,"RT @POTUS: To make tonight's joint address accessible for all Americans, every White House livestream will have American Sign Language (ASL..."
JoeBiden,"Before tonight's joint address to Congress, join @DrBiden and Mayor @KeishaBottoms for a call to thank our grassroo... https://t.co/yhI85udelO"
JoeBiden,"With the first 100 days of our administration under our belt, America is getting back on track--all thanks to the su... https://t.co/ORwzvjmqO1"
JoeBiden,"RT @POTUS: I believe no one should work full time and still live in poverty. That's why today, I raised the minimum wage to $15 an hour for..."
JoeBiden,"The American Jobs Plan will strengthen unions, help protect workers, and rebuild our economy. https://t.co/sHNa1eRfiB"
JoeBiden,"RT @POTUS: Today, we're launching a new program funded by the American Rescue Plan to provide nutrition assistance to more than 30 million..."
JoeBiden,"Get vaccinated, America."
JoeBiden,"RT @POTUS: Just as India sent assistance to the United States as our hospitals were strained early in the pandemic, we are determined to he..."
JoeBiden,"RT @POTUS: Before I took office, I promised help was on the way. Just three months in, I'm proud to say help is here. We've delivered over..."
JoeBiden,Let's close the digital divide once and for all. Our American Jobs Plan will make sure every American has access to... https://t.co/bPYjAfxtxq
JoeBiden,Heading back to Georgia with @DrBiden next Thursday to mark 100 days of our administration and thank folks for help... https://t.co/tqYM8vkpH8
JoeBiden,"RT @WhiteHouse: Before taking office, President Biden set a bold goal of 100 million shots in his first 100 days.
 
After reaching the goal..."
JoeBiden,RT @POTUS: America is back. We rejoined the Paris Agreement and are ready to rally the world to tackle the climate crisis. Let's do this.
JoeBiden,"RT @POTUS: The guilty verdict does not bring back George Floyd. But through the family's pain, they are finding purpose so George's legacy..."
JoeBiden,"RT @POTUS: Today, a jury in Minnesota found former Minneapolis Police Officer Derek Chauvin guilty of murdering George Floyd.
 
The verdict..."
JoeBiden,RT @WhiteHouse: Live: President Biden and Vice President Harris address the nation on the verdict in the trial of Derek Chauvin. https://t....
JoeBiden,"If we act now on the American Jobs Plan, in 50 years, people will look back and say this was the moment that Americ... https://t.co/ME2bnP9xOm"
JoeBiden,"Today, every adult is eligible to get a COVID-19 vaccine. Better days are ahead."
JoeBiden,"RT @POTUS: Imagine a future where we lead the world and tackle the threat of climate change with American jobs and ingenuity.

We can make..."
JoeBiden,RT @POTUS: Vice President Harris and I have been briefed on the mass shooting at a FedEx facility in Indianapolis. God bless the eight indi...
JoeBiden,RT @POTUS: I'm looking forward to welcoming my friend Prime Minister Suga to the White House this afternoon for the first foreign leader vi...
JoeBiden,"RT @POTUS: It is time to end America's longest war. 

It is time for American troops to come home from Afghanistan."
JoeBiden,RT @WHCOVIDResponse: We continue to make progress in our work to vaccinate as many adults in this country as we can. Our current 7-day dail...
JoeBiden,"RT @POTUS: Today, the FDA and CDC recommended a pause in the use of the Johnson &amp; Johnson vaccine. Here's what you need to know: https://t...."
JoeBiden,"RT @POTUS: ""When the will defies fear, when duty throws the gauntlet down to fate, when honor scorns to compromise with death -- that is her..."
JoeBiden,"RT @POTUS: Race should never determine health outcomes -- and pregnancy and childbirth should be safe for all. But for too many Black women,..."
JoeBiden,"RT @POTUS: Today I'm thinking about Daunte Wright and his family -- and the pain, anger, and trauma that Black America experiences every day..."
JoeBiden,RT @POTUS: Gun violence in this country is an epidemic -- and it's long past time Congress take action.
JoeBiden,RT @WHCOVIDResponse: More than 112 million Americans have received at least one dose and more than 66 million adult Americans are now fully...
JoeBiden,"RT @POTUS: My Administration is taking initial steps to reduce gun violence, including:

- Stopping the proliferation of ghost guns
- Regul..."
JoeBiden,"RT @POTUS: Today, I'm joining Vice President Harris and Attorney General Garland to announce new actions to reduce gun violence. Tune in. h..."
JoeBiden,RT @WhiteHouse: Clean drinking water is infrastructure. The American Jobs Plan will improve our water infrastructure by replacing 100% of t...
JoeBiden,"RT @POTUS: I'm proud to share that yesterday, we crossed 150 million shots in just 75 days of my Administration -- on our way to hitting our..."
JoeBiden,RT @POTUS: My Administration is working to get America vaccinated as quickly as possible. Tune in as I provide an update on our progress an...
JoeBiden,RT @POTUS: Here's the deal: Wall Street didn't build this country -- the great American middle class did. It's time we rebuild the middle cl...
JoeBiden,"RT @POTUS: From our family to yours, we wish you health, hope, joy, and peace. Happy Easter, everyone! https://t.co/3NHPrbFCVt"
JoeBiden,"RT @POTUS: This week, I announced the American Jobs Plan, which will invest in our infrastructure and strengthen America's competitiveness..."
JoeBiden,RT @POTUS: The American Jobs Plan will ensure every American can turn on the faucet or fountain and drink clean water. https://t.co/V1WT3Tk...
JoeBiden,The American Jobs Plan is the largest American jobs investment since World War II.
JoeBiden,"Under the American Jobs Plan, 100% of our nation's lead pipes and service lines will be replaced--so every child in... https://t.co/OSBaolqeyN"
JoeBiden,"Wall Street didn't build this country--the great American middle class did. This time, when we rebuild the middle cl... https://t.co/Zi3Puap7jI"
JoeBiden,Delivering for the American people is what the American Rescue Plan was about. It's what the American Jobs Plan is... https://t.co/qZCSlOU6gw
JoeBiden,"The American Jobs Plan is a once-in-a-generation investment in America. It will:
Modernize 20,000 miles of highway... https://t.co/tfpjNM51O0"
JoeBiden,"Millions of Americans lost their jobs last year.

Here's the truth: We all do better when we all do well. It's time... https://t.co/9hnlXRaIB7"
JoeBiden,RT @POTUS: We can't be silent in the face of rising violence against Asian Americans. That's why today I'm taking additional steps to respo...
JoeBiden,"RT @POTUS: I'm proud to announce that three weeks from today, 90% of adults will be eligible to get vaccinated -- and 90% of Americans will..."
JoeBiden,RT @POTUS: Vice President Harris and I just wrapped up a COVID-19 briefing. Tune in as I give an update on our response to the virus and th...
JoeBiden,"RT @POTUS: Two weeks ago, I directed all states, tribes, and territories to make all adult Americans eligible for the vaccine no later than..."
JoeBiden,"RT @WhiteHouse: Megan Rapinoe, Margaret Purce, and countless others have been leading the fight for pay equality. This week, the President..."
JoeBiden,"RT @POTUS: As we recall the Passover story of overcoming adversity, finding hope, and becoming free, we find a renewed salience. This weeke..."
JoeBiden,"RT @POTUS: I ran for president for three reasons: to restore the soul of the nation, rebuild the middle class, and unite the country. https..."
JoeBiden,"RT @POTUS: Before I took office, I set a big goal of 100 million shots in my first 100 days.
 
We hit the goal on day 58.
 
Now, I'm settin..."
JoeBiden,"RT @POTUS: This afternoon, I'm holding my first formal press conference as president. Tune in. https://t.co/dvl1RAtOjr"
JoeBiden,"RT @WHCOVIDResponse: In total, 84 million people -- about 1 in 3 adults -- have received at least one dose of the vaccine and more than 45..."
JoeBiden,"RT @WhiteHouse: President Biden believes every single American deserves access to quality, affordable health care. Here's a breakdown of ho..."
JoeBiden,RT @POTUS: Jill and I are devastated for the lives that have been shattered by gun violence in Colorado. Less than a week after the horrifi...
JoeBiden,RT @WhiteHouse: Big news: The Biden-Harris Administration set a new record this weekend with 6 million shots reported administered. We're r...
JoeBiden,"RT @POTUS: Under the American Rescue Plan, the typical family of four is getting a $5,600 check. That money helps folks keep a roof over th..."
JoeBiden,"RT @POTUS: Mask up, America. https://t.co/6yaUHYmzWC"
JoeBiden,"RT @WhiteHouse: Before President Biden took office, the U.S. was administering an average of 900,000 COVID-19 vaccine doses a day.

Last we..."
JoeBiden,"RT @POTUS: Like countless people across the country, Jocelyn and her family are struggling to make ends meet. I gave her a call to discuss..."
JoeBiden,"RT @POTUS: Words have consequences. 

It's called the coronavirus.

Full stop."
JoeBiden,"RT @POTUS: This afternoon, Vice President Harris and I are meeting with Asian American leaders in Atlanta, Georgia. We're going to discuss..."
JoeBiden,"RT @WhiteHouse: Big News: President Biden announced that tomorrow, our Administration will hit 100 million COVID-19 shots administered. 

T..."
JoeBiden,"RT @POTUS: In honor of the victims of the senseless shootings in Atlanta, I've ordered the flag of the United States to be flown at half-st..."
JoeBiden,"RT @POTUS: Jill and I are keeping everyone impacted by the shootings in Atlanta in our prayers. We don't yet know the motive, but what we d..."
JoeBiden,"RT @WhiteHouse: Across the country, millions of small businesses are struggling to keep their doors open. Here's a breakdown of how the Ame..."
JoeBiden,RT @POTUS: That's the American Rescue Plan. https://t.co/7pE89mi4C6
JoeBiden,"RT @WHCOVIDResponse: Over the weekend, we administered nearly 6 million doses of the COVID-19 vaccine. 

Today, for the first time on a Mon..."
JoeBiden,"RT @POTUS: Last week, I signed the American Rescue Plan into law and direct payments have begun going out to folks across the country. I kn..."
JoeBiden,RT @WhiteHouse: The Biden-Harris Administration has been working around the clock to get America vaccinated. We've doubled daily vaccinatio...
JoeBiden,"It matters whether you continue to wear a mask.  
It matters whether you continue to socially distance.  
It matter... https://t.co/oH3PZ5RJ3l"
JoeBiden,RT @POTUS: To everyone out there who's hurting or struggling to get by: help is here. https://t.co/fkME0yMmBK
JoeBiden,"The American Rescue Plan means a $7,000 check for a single mom of four. It means more support to safely and quickly... https://t.co/Shycal3Q2r"
JoeBiden,"RT @POTUS: This afternoon, I'm joining Vice President Harris and members of Congress to celebrate the passage of the American Rescue Plan...."
JoeBiden,"85% of American households will get direct checks from the American Rescue Plan.

For so many Americans, that means... https://t.co/odfB4ZMzC4"
JoeBiden,RT @POTUS: All adult Americans will be eligible to get the vaccine no later than May 1.
JoeBiden,"RT @POTUS: Before I took office, I promised you that help was on the way. Today, I signed the American Rescue Plan into law, and can offici..."
JoeBiden,"RT @WhiteHouse: From $1,400 checks and unemployment relief to vaccines for every American -- help is here. https://t.co/R0AYaTbkTV"
JoeBiden,RT @POTUS: Help is here. https://t.co/urZCiigeS1
