username,text
cbellantoni,We're looking for journalists to work with young people in the @AnnenbergMedia student-led newsroom for the next ac... https://t.co/pT9wHobZdP
cbellantoni,It's the @ViacomCBS  HBCU Diversity in Journalism scholarship for students entering the @USCAnnenberg Journalism ma... https://t.co/wlB9AZvn3L
cbellantoni,".@GayleKing announces a new scholarship to elevate Black excellence in journalism at #ascj commencement. ""This is r... https://t.co/IXgSw5fiKZ"
cbellantoni,Loving @questlove at #ascj commencement quoting Muhammad Ali: Service to others is the rent that you pay for your r... https://t.co/8bj4l3L5v6
cbellantoni,I see you @abhinanda_b! So proud of you here at #ascj! https://t.co/BzmmARuRIV
cbellantoni,@LATSeema @DMRegister LOL
cbellantoni,@feliciasonmez 
cbellantoni,"RT @cspaworkshop: Attention, high school journalists: The application for our summer 2021 workshop, July 12-16, is now live. 

Don't miss t..."
cbellantoni,https://t.co/wVGCLh58u3
cbellantoni,"(Husband shot video, I'm inside giving my students their Zoom final.)"
cbellantoni,"The Mandalorian was just cruising around Burbank today on a skateboard, nbd. https://t.co/FGKa7IoeZZ"
cbellantoni,"@versharma On brand, too!"
cbellantoni,RT @USCAnnenberg: So excited to share that @GayleKing and @questlove are headlining our virtual celebration for USC Annenberg's Class of 20...
cbellantoni,@joshtpm @versharma Right?!
cbellantoni,"@versharma PS let me know when you're looking for talented young journalists, I know a few!"
cbellantoni,This is amazing news to start the week. Versha is one of the most versatile and thoughtful women in the business an... https://t.co/55QHxwWSHh
cbellantoni,@versharma !!!!!
cbellantoni,"This horrifying environmental disaster should be getting more coverage. 

https://t.co/I1dVfofE1H"
cbellantoni,"RIP, Bo Obama. I loved getting to meet you this day in 2009 as you moved in to the White House, and watching you be... https://t.co/qkP5WOMhHo"
cbellantoni,@DeborahNetburn @LinshannonLin Love this very much. Miss you!
cbellantoni,@adamconner @wexler @originalspin A very senior editor at a very large news organization told me he had trouble tel... https://t.co/Fxlvb5auQ4
cbellantoni,@dhtoomey Classic moment that reshaped a lot in DC. I've been surprised how few of my students have even known about this!
cbellantoni,"I am so proud of what these students have accomplished in one short school year. 

Their peers are better for it an... https://t.co/f6TFqQxMZ0"
cbellantoni,"RT @Poynter: As professional outlets reexamined their coverage and newsroom culture last year following the George Floyd protests, similar..."
cbellantoni,"""If you loot we shoot.""
Fear-mongering email from Minnesota candidate for governor also includes obligatory Maxine... https://t.co/M4z9Sd84pk"
cbellantoni,RT @ANNMediaSports: #BREAKING: @USC_FB wide receiver Amon-Ra St. Brown has been selected by the Detroit Lions with the 112th selection in t...
cbellantoni,Are you a journalist who wants to give back? Could you use a year working in a different sort of newsroom? Do you l... https://t.co/XMCLUmB5G9
cbellantoni,I see you @astridcrystal_ @piperhudsburn @JStephens_news @natasha_marie_b 
cbellantoni,I absolutely love Report for America and am so proud to be a judge. It's a critical project at a critical time for... https://t.co/8hiioxoTez
cbellantoni,RT @AnnenbergMedia: A question has been asked regarding whether vaccinations will be required. President Folt states that a memo will be se...
cbellantoni,I loved learning about Bob Ray Sanders and his pioneering career in Texas. One of my students in Intro to reporting... https://t.co/HIpGfnG4I8
cbellantoni,RT @jpanzar: We got a recall https://t.co/UicnCNSpEz
cbellantoni,"Here we go! California enters the political circus again. 

If you're interested in this (and who wouldn't be?!) ma... https://t.co/T2szs96QzY"
cbellantoni,Has been interesting how much Team Newsom is fundraising off of Jenner. https://t.co/9gHze4ndCd
cbellantoni,"RT @YuanRuby: I wanted to write a story about this in my last semester at @USC, but COVID news in spring 2020 took away my time. 

Here are..."
cbellantoni,I'm infuriated by stories like this. I did a segment about young girls and body image a million years ago at the... https://t.co/2udWNnpXYP
cbellantoni,"""If you showed up to class, and you didn't have makeup on,"" Trujillo said, ""somehow Lori would find out about it."" https://t.co/A8wLRc6JPN"
cbellantoni,"Truly horrifying. 

USC Song Girls report enduring toxic culture, body shaming - Los Angeles Times https://t.co/U6s7ZUxIAX"
cbellantoni,"RT @CShalby: In California, COVID-19 transmission is low and vaccinations are on the rise. Is it time to get rid of face masks?

I asked th..."
cbellantoni,RT @USCAnnenberg: .@cbellantoni spoke to @KPCC @TakeTwo about Speaker of the House Nancy Pelosi opposing efforts to add justices to the Sup...
cbellantoni,@cmaiduc 
cbellantoni,"RT @simplykately: I wrote about misinformation on Viet YouTube channels, which many VietAm kids say are responsible for pulling their paren..."
cbellantoni,@CityofHillsboro @kwyatt23 @briannalennon Wonderful thanks!
cbellantoni,"Also, what councils have good online/Zoom interaction?"
cbellantoni,"Read this please. 

Thank you Tim, for being so reasonable and clear. I hope you can change some minds. https://t.co/qi6zD7zpTV"
cbellantoni,"Teaching local government reporting to my Intro to Reporting and Writing class this week. 

Your best city council coverage examples?"
cbellantoni,@dailytrojan @TweshaDikshit Congrats @TweshaDikshit
cbellantoni,@SopanDeb No you're correct. 100%. You can do it the other way but it won't be as good!
cbellantoni, https://t.co/LTDrpVBZoJ
cbellantoni,This seems like a good opportunity to embarrass myself with my #ascj students who can shoot and edit better blindfo... https://t.co/dX77mHPctK
cbellantoni,@aedwardslevy I'd rather this than spending money on a new bunny every year. Just hope they get it dry cleaned!
cbellantoni,RT @AnnenbergMedia: .@PresidentFolt joined @MayorOfLA last Thursday to discuss joint and separate efforts from universities and local gover...
cbellantoni,"RT @skarlamangla: In the past three months, LA County's daily coronavirus case numbers have fallen 97%, from 14,200 on Jan. 5 to fewer than..."
cbellantoni,Congrats! https://t.co/NCSBWQkk9z
cbellantoni,So proud of you! Great news for the Post and for DC. https://t.co/9Cto91VSyV
cbellantoni,"@jzembik Not clear on the normal part, but bebe is not alone in shrieking food joy"
cbellantoni, https://t.co/FTmXX1TetQ
cbellantoni,"Looking forward to welcoming her, and all our new recruits! https://t.co/PCCkV6GEqf"
cbellantoni,".@POTUS on brand:

Q    Mr. President, what have you given up for Lent?
 
THE PRESIDENT:  I gave up all sweets for... https://t.co/sW3F3mPsmv"
cbellantoni,"Serving as a judge for this prize is such an honor. Reading @GrahamDavidA was a real treat - his writing is bright,... https://t.co/XJtbjJf8XP"
cbellantoni,"Thank you for inspiring me as a young kid, and now continuing to inspire my own young kid, who loves Ralph dearly. https://t.co/HZLjoRclvN"
cbellantoni,"RT @AMartinezLA: .@KPCC @TakeTwo 2pm: What @RobBontaCA as CA AG means for @CAgovernor,  #RecallGavinNewsom &amp; @RepAdamSchiff Get to know bea..."
cbellantoni,RT @AnnenbergMedia: USC will pay $1.1 billion to over 710 former students alleging sexual misconduct by campus gynecologist. https://t.co/9...
cbellantoni,@cmaiduc Those outfits!
cbellantoni,Congrats! Strong work at an important time. https://t.co/nuBwPkWvtc
cbellantoni,RT @CShalby: Local and state officials continue to stress these facts as questions keep surfacing: The vaccine is *free* and your immigrati...
cbellantoni, https://t.co/yQuLymPbjk
cbellantoni,A lesson for our young journalists: don't be afraid to dig into the officials in positions of power. Anyone at a po... https://t.co/Kp4Ihgyt6d
cbellantoni,Powerful work from our student newsroom today. https://t.co/5hsZcl1Ken
cbellantoni,@Tomas_Mier Oh hm not sure about Bay Area. But the letter helps.
cbellantoni,"@Tomas_Mier If his doc can write him a note about the asthma, Keck will do it now. Takes forever to get through on... https://t.co/cHH1HAy4OW"
cbellantoni,"RT @Noahbierman: Per @VP office, ""In advance of heading to California, the Vice President spoke with California Governor Gavin Newsom and r..."
cbellantoni,@ASDem @jehabig It's worse *after* you have the baby.
cbellantoni,@YuanRuby https://t.co/e3EfLEVydG
cbellantoni,"RT @Tomas_Mier:  PEOPLE MAGAZINE/PEOPLE.COM IS HIRING IN A BUNCH OF ROLES 

@WritersofColor @nahj @nabj @aaja @nlgja @TransJA @najournali..."
cbellantoni,@lizzieohreally A dress! So impressive
cbellantoni,"RT @USCCenter4PR: ICYMI: Season 3, Episode 1 of #PRFuture features @cbellantoni. She explains how corporations and their representatives ca..."
cbellantoni,Such terrific news! We're so proud of our awesome alum! https://t.co/w9HxwUEoo9
cbellantoni,So happy for you! https://t.co/GPo4EBVHcY
cbellantoni,"RT @Indira_L: @ohheyjenna This is terrible news. 47 laid off today from @HuffPost. Please pitch us freelance stories on Animals, Environmen..."
cbellantoni,@StevenTDennis I knew you when.
cbellantoni,RT @AnnenbergMedia: Dean Willow Bay announced in an email that Annenberg graduating seniors and master's students can participate in a seri...
cbellantoni,"Find yourself 30 minutes to watch this full conversation. It's honest, powerful and so important to keep up to insp... https://t.co/EvSX3bvuVC"
cbellantoni,"RT @skarlamangla: California alone, which is a huge state but only around .5% of the world's population, has administered 8.8 million doses..."
cbellantoni,@nielslesniewski Has Biden talked to Gavin Newsom about the recall effort in California? Would the president campai... https://t.co/BW0CSu0DNI
cbellantoni,@mitrakalita I quote you on this to my students all the time.
cbellantoni,I feel like the salespeople at TopPro Mag should vet for fear mongering. https://t.co/pkZNEeyHgg
cbellantoni,@paulmitche11 @ASDem @TomHReynolds You haven't met Matilda. She has special skills.
cbellantoni,This is awesome! https://t.co/ALGfZjzLVd
cbellantoni,@melmason @latimes @markzbarabak 
cbellantoni,"RT @USCAnnenberg: Listen in to @KPCC at 2:00 p.m. PT today as #ASCJ Prof @cbellantoni discusses this week in politics on ""State of Affairs."""
cbellantoni,Excited about the launch of this new vertical in the student newsroom. https://t.co/iDfbulELYX
cbellantoni,@dillonliam @latimes @johnmyers @allisonwisk @Erika_D_Smith @RichMarosi @shelbygrad @bposton Time flies when you're... https://t.co/ZslpWNQGxE
cbellantoni,@EdEspinoza Ugh! Let me know best way we can help from California.
cbellantoni,Seems legit! https://t.co/GwHUniYgb8
cbellantoni,RT @PolitiFact: We're publishing some of our first Biden Promise Tracker updates today with the new president's executive actions. See the...
cbellantoni,"RT @markzbarabak: Dianne Feinstein was once California's most admired politician, a path-breaker with a remarkable backstory. But the natur..."
cbellantoni,"Then when Hazel passed away at 50 from the coronavirus, I finally realized why we got married so young: We weren't... https://t.co/JfWeMSe1Cq"
cbellantoni,"Wingate ... wants to be present for his execution. ""When my brother came home from the hospital, I was the first fa... https://t.co/hIA8YDTDXC"
cbellantoni,Most of mine are from sad stories.
cbellantoni,Teaching my students the importance of using just the right quote. Please send your favorite examples!
cbellantoni,Seems like someone was afraid everyone would stop talking about him!
cbellantoni,@priyakkumar The second I saw this I wondered if you were behind it. 
cbellantoni,"It's called ""joy"" on Slack! https://t.co/eAUbXIz55c"
cbellantoni,"What makes this all the more confusing is that it's different on Slack, where I engage with the younger generations... https://t.co/Z8fLSZjrJc"
cbellantoni,It is both a damning of the worst journalistic habit and a somber call to action for change. Read this important... https://t.co/PTpLipn1Tb
cbellantoni,@dhtoomey Still writing on your hand I see.
cbellantoni,RT @AmandaBecker: Inside the Lincoln Project's 'toxic' workplace: Interviews with nearly two dozen people with knowledge of the group's wor...
cbellantoni,"This is such B.S.

Wish the fodder for my class next week didn't involve the very gross treatment of an intrepid jo... https://t.co/DssAzzfzZQ"
cbellantoni,"If the story doesn't break your heart, these graphics will. Kudos to @iamethanward and @CrosstownLA for a deep dive... https://t.co/iIqduVcb9f"
cbellantoni,"1,383 homeless individuals died in Los Angeles County in 2020.

https://t.co/NZGKS2ZiEH"
cbellantoni,Three times!
cbellantoni,"Who had ""erudite"" in your impeachment bingo? (Twice!)"
cbellantoni,This is such a powerful 2018 essay from @ijbailey that my students are reading in Intro to Reporting and Writing... https://t.co/eM82Vfjih1
cbellantoni,"RT @CShalby: [Thread] The latest on CA's vaccine rollout: During an advisory committee meeting last night, state officials said that a high..."
cbellantoni,"RT @brittny_mejia: For my latest, I learned a lot about noses  and gained a greater appreciation for my sense of smell: Months after..."
cbellantoni,"RT @travislylesnews: Hi all! As you might have heard, I am hiring an Instagram team at The Post! The jobs are now posted, and I will thread..."
cbellantoni,"USC offers little clarity on COVID-19 death and critically ill numbers

Student journalists took a look at a diffic... https://t.co/IEm7QCfsVl"
cbellantoni,"We're hiring! 

This is an incredible job to replace an incredible colleague @SashaAnawalt. 

https://t.co/rStc80nkVr"
cbellantoni,"RT @USCAnnenberg: .@cbellantoni spoke with @KPCC @TakeTwo about California Gov. Gavin Newsom's recent easing of COVID restrictions. ""People..."
cbellantoni,@katecwiles Beautiful tribute. I will never forget learning about your story grading your homework assignment. You... https://t.co/kHjhDeemst
cbellantoni,RT @AMartinezLA: .@KPCC 2pm @taketwo @GOP can't seem to quit #DonaldTrump Hear why @GOPLeader made the pilgrimage to #MarALago for a game p...
cbellantoni,@ggarciaroberts Fantastic!
cbellantoni,PS this simple phrase remains heartbreaking. https://t.co/ZasVQBum7R
cbellantoni,Thrilled that @joseiswriting ideas on race and identity will be shared with the world in his new book. He's been pr... https://t.co/2vCkNfYMae
cbellantoni,@saba_h NPR's @UpFirst had a good one this morning.
cbellantoni,"I always teach this @jeffzeleny Iowa caucus lede from 2008 as one of my faves:

""They rolled the dice.""

https://t.co/HqqkqODRWV"
cbellantoni,Collecting great ledes for my lecture to Intro to Reporting and Writing students. Please send your best!
