username,text
mindyfinn,"RT @DaviSusan: This is wild: Just 12 People Are Behind Most Vaccine Hoaxes On Social Media, Research Shows https://t.co/I6wpeIPM1Y"
mindyfinn,"RT @BarbaraComstock: I have served in the Capitol as a Member of Congress, Chief Counsel, staffer and intern -- never saw a ""tourist"" do th..."
mindyfinn,"RT @DKThomp: The 2 COVID Commandments

1. It's an indoor-exhalation virus that mostly spreads through the air.
2. The vaccines work as adve..."
mindyfinn,Game changing news! The COVID vaccine is pure gold. Standing by for updated guidance re: kids who are not currently... https://t.co/XxWATVgNwz
mindyfinn,"RT @jbarro: If you fell for Rebekah Jones's bit, you should feel bad. Red flags everywhere. https://t.co/JWfGwr0ho1"
mindyfinn,"Hey guys, become an independent. It's really liberating."
mindyfinn,"RT @Redistrict: Late to this essay, but I've tracked congressional races professionally for 15 years and agree that banning party primaries..."
mindyfinn,"@Redistrict True, they prob won't care who serves as GOP conference chair, a pretty ceremonial role at this point,... https://t.co/JykUTxdByT"
mindyfinn,"RT @ZekeJMiller: GAZA CITY, Gaza Strip (AP) -- Hamas says Israeli airstrike killed Gaza City commander, highest-ranking militant to be kille..."
mindyfinn,"More than three years later, still all in on this cause of a lifetime. https://t.co/TYL9KM3wTG"
mindyfinn,Voice vote to oust @RepLizCheney? How apropos for those intent on subverting majority will.
mindyfinn,RT @JakeSherman: Cheney says she will do everything she can to make sure Trump doesnt get anywhere near the Oval Office.
mindyfinn,RT @JakeSherman: NEWS: CHENEY removed from her post by voice vote
mindyfinn,"RT @jmartNYT: Notable from @SpeakerPelosi &gt;

""I condemn the escalating and indiscriminate rocket attacks by Hamas against Israel.  Israel h..."
mindyfinn,.@RepLizCheney is cementing her place in the storied history of America's early 21st century battle to protect demo... https://t.co/VoAyjS3drn
mindyfinn,"RT @samstein: We can get dulled because we're experiencing it in real time, but it is surreal and honestly shocking to see a top official i..."
mindyfinn,"""I'm a conservative Republican, and the most conservative of conservative principles is the rule of law."" -... https://t.co/bW6pD55Rjw"
mindyfinn,"RT @GarrettHaake: ""We must speak the truth: our election was not stolen,"" Cheney continues."
mindyfinn,Democracy voter right here. Who's with me? 
mindyfinn,"@amandacarpenter Seriously, democracy is the issue."
mindyfinn,RT @JakeSherman: Big news in @PunchbowlNews AM -- @SpeakerPelosi has deputized @BennieGThompson to lead on crafting legislation to create a...
mindyfinn,"RT @beckerdavidj: For no particular reason, here's your regular reminder that the ballots in MI were hand-audited, and every ballot in Antr..."
mindyfinn,"This letter is certainly something. ""Seizing the future"" means reckoning with past mistakes so they never happen ag... https://t.co/HDvjNJbbwX"
