username,text
nicopitney,"@ToddMartinMMA I regret to inform you that you did, in fact, say ""Stadium Stampood"". 

Cc @thewadekeller"
nicopitney,"RT @NicoleSganga: NEWS: The Department of Homeland Security issues an updated terrorism advisory warning of persistent threats nationwide ""..."
nicopitney,"Republicans want to raise taxes on the poor and working class.

Biden wants to raise taxes on the ultra-wealthy &amp; c... https://t.co/fMmx7ur1Zh"
nicopitney, https://t.co/TqgAKnOzzx
nicopitney,RT @MorePerfectUS: BREAKING: Leaked footage of a right-wing donor conference reveals a secretive plot to write and pass an avalanche of vot...
nicopitney,"RT @byHeatherLong: This is the best chart I've seen that clearly explains what's going on with inflation.

Yes, April saw the fastest infla..."
nicopitney,"RT @chaidingari: On @Spotify musicians earn an insanely low $0.0038 per stream and many average even less. 

It's time for artists to be pa..."
nicopitney,"RT @MorePerfectUS: NEW: @Spotify is killing the music industry.

Spotify's value tripled during the pandemic, but you have to stream a song..."
nicopitney,"RT @vanillaopinions: when Wisconsin removed collective bargaining for teachers in 2011, the wage gap absolutely exploded https://t.co/K3lJA..."
nicopitney,@jordanzakarin @banditelli @MorePerfectUS @Sen_JoeManchin 
nicopitney,"RT @greenhousenyt: Danielle Williams, 52, &amp; her daughter, Brittany, 35, both work caring for the elderly.

Brittany earns $20 an hour &amp; has..."
nicopitney,RT @EricLevitz: Interesting detail from this Sinema profile https://t.co/YGWD7wZxuD https://t.co/GGL0kDKROL
nicopitney,RT @ewarren: No more trickle-down economics. It's time to make the rich pay their fair share and build our economy from the bottom up and t...
nicopitney,"@versharma This is such thrilling news! Huge congratulations and so deeply, marvelously deserved, Versha--I am over... https://t.co/IVYk8qgZi6"
nicopitney,"@BrandonMagner @UnionElections @J_Sweeney13 16, yes, and workers said almost all were challenged by management"
nicopitney,"RT @leah_boustan: Me, contemplating why this could possibly be as I walk to pick up my kids from school at 12:21 on a work day "
nicopitney,"If you listen to the full interview, never once does @SenatorSinema utter a single critical word about either the f... https://t.co/yaD6G4NiOS"
nicopitney,At what point will @SenatorSinema prove her theory and convince a single GOP senator to support a key bill that she... https://t.co/pu4TtzxhtD
nicopitney,"RT @mitrakalita: This @Reuters photo. Having been part of many Indian death rites, I'm struck by absence of family and friends everywhere,..."
nicopitney,"Critics of the vaccine patent waiver simultaneously arguing that 

a) waiving patents won't generate many more dose... https://t.co/bql76hp2OT"
nicopitney,"RT @RepJayapal: Infrastructure and human investments always pay for themselves. But for all those who insist that we need to ""pay for"" thes..."
nicopitney,RT @MorePerfectUS: President Biden is going to tax large corporations and the ultra-rich and use the money to make working people's lives b...
nicopitney,RT @climatebrad: It is a *very* good idea to extract meaningful policy promises from politicians while they are candidates. A tremendous th...
nicopitney,@aedwardslevy Such a smart hire. Congratulations Ariel!
nicopitney,"RT @MorePerfectUS: When inventor Jonas Salk was asked who owned the patent to his polio vaccine, he replied, ""The people, I would say. Ther..."
nicopitney,"RT @gabriel_zucman: Billionaire wealth, May 1st update https://t.co/RDI06il1dY"
nicopitney,"RT @AdyBarkan: ""It's the only humane thing in the world to do,"" said candidate Joe Biden. 

Our last president was inhumane. 

This one is..."
nicopitney,"RT @JuddLegum: 1. According to the State Department, cotton from the Chinese territory of Xinjiang is being harvested with forced manual la..."
nicopitney,"RT @danielmarans: A group of progressive House members, led by @RepSchakowsky, which has been pushing for a waiver on the COVID-19 vaccine..."
nicopitney,"RT @MorePerfectUS: ALERT: Arizona has hired a Stop the Steal conspiracist to ""audit"" the 2020 election. Republicans will soon use it to jus..."
nicopitney,"RT @AdyBarkan: Mr President, it's time to keep your promise, it's time to #FreeTheVaccine.

Millions of lives around the world are at stake..."
nicopitney,RT @ScottHech: PLEASE HELP: Hundreds locked up in Oregon based on a law the KKK helped pass. To silence Black jurors like Cash Spencer. Jus...
nicopitney,"RT @MorePerfectUS: NEW: Drivers are exposing Uber and Lyft's business model. It's built on deception, control, and false promises.

They op..."
nicopitney,@Koji22110118 @SolomeOU @Eric_Blum_ @Marcel3x @MorePerfectUS @_waleedshahid @POTUS Not correct. Biden's order in Ja... https://t.co/RLwGSJnafQ
nicopitney,"@Eric_Blum_ @MorePerfectUS @_waleedshahid @POTUS Raising it for everyone requires an act of Congress, but Biden has... https://t.co/v5IGQ5rgSu"
nicopitney,"RT @MorePerfectUS:  Most medical debt in the U.S. can be forgiven immediately.

The health care industry doesn't want you to know this, b..."
nicopitney,"RT @thrasherxy: Alternate NYT headline:

92 PERCENT OF AMERICANS RECEIVED SECOND COVID SHOT ON TIME, WILDLY EXCEEDING PAST TWO DOSE VACCINE..."
nicopitney,"RT @MorePerfectUS: 1. Today, @Kroger is closing two stores in Seattle to retaliate against a local $4/hr hero pay law. More than 100 worker..."
nicopitney,RT @MorePerfectUS: THREAD: Wall Street millionaires are in a full meltdown over President Biden's proposal to raise taxes on the richest Am...
nicopitney,"RT @equalityAlec: THREAD:  Local news reports that Biden is nominating a former judge, Keva Landrum-Johnson, to be U.S. Attorney in New Orl..."
nicopitney,RT @aidachavez: Kyrsten Sinema's 2012 congressional campaign relied on labor union support https://t.co/TkYA4ZqezT
nicopitney,RT @ryangrim: Sinema asks AZ business leaders to arm her with arguments she can take back to Senate leadership about the PRO Act. This is w...
nicopitney,"RT @MorePerfectUS: ""Capitalism is not working."" -- @SenatorTester calls for urgent action to rein in concentrated corporate power. ""No admin..."
nicopitney,"RT @brianefallon: Biden officially submitted his first round of judicial nominees to the Senate today, including four public defenders. @Mo..."
nicopitney,"RT @MorePerfectUS: Our justice system is in crisis.

America's courts are stacked in favor of corporations.

If we're going to save it, we..."
nicopitney,RT @MorePerfectUS: BREAKING: Sen. Joe Manchin just announced he is cosponsoring the #PROAct -- the most significant bill to expand worker p...
nicopitney,RT @MorePerfectUS: EXCLUSIVE: More Perfect Union has obtained a sweeping 150-page draft GOP voter suppression bill that would severely rest...
nicopitney,@ToddMartinMMA @thewadekeller I think all of the TDome crowd visuals from last week (inc. the weird booing during B... https://t.co/TLnkwqdVdN
nicopitney,"RT @ddayen: Up @theprospect: The Save Our Stages $16.5 billion grant program to music venues, museums, and theaters hasn't given out a doll..."
nicopitney,"RT @MorePerfectUS: NEWS: This past week, local NBC and ABC affiliates have aired fake ""interview"" segments that look like news, but are act..."
nicopitney,"Just .1% of global COVID vaccine shots have been administered in low-income countries.

Pres. Biden can change that... https://t.co/ilotHWWeYu"
nicopitney,"RT @MorePerfectUS: One of the most pivotal decisions of Joe Biden's presidency is approaching.

On May 5, he must choose between protecting..."
nicopitney,"RT @MorePerfectUS: On Thursday, Mitch McConnell said, ""I really, greatly admire Senator Manchin"" for ""almost single-handedly"" ensuring that..."
nicopitney,"RT @fshakir: Must watch expose on how Amazon violated the rules, probably when it didn't even have to. They did it because they could."
nicopitney,"RT @MorePerfectUS: BREAKING: More Perfect Union has obtained new details about Amazon's illegal actions to defeat the union.

The violation..."
nicopitney,RT @MorePerfectUS: BREAKING: More Perfect Union has obtained emails showing that Amazon privately pressured USPS to install an illegal ball...
nicopitney,"RT @jeremyscahill: Bush authorized one strike in Yemen, in 2002. In late 2009, the Obama-Biden administration initiated a secret bombing ca..."
nicopitney,"RT @MorePerfectUS: BREAKING: New York State budget establishes the first Excluded Workers Fund in the nation.

Undocumented workers with @F..."
nicopitney,"RT @jamestalarico: 3 years ago I almost slipped into a coma and died. I was diagnosed with type 1 diabetes.

I paid $684 for my first 30-da..."
nicopitney,"RT @MorePerfectUS: 56 years ago this week, Martin Luther King Jr. led thousands of protestors through the streets of Alabama to demand raci..."
nicopitney,"A political coup for the GOP:
- Violates Biden pledge against raising taxes on working people 
- ""Democrats making... https://t.co/8XCZ9J7s8e"
nicopitney,"RT @aaronsojourner: Public feeling towards labor unions is more positive than in any year on record back over half a century, @electionstud..."
nicopitney,"RT @JStein_WaPo: -- Michigan's moratorium on water shutoffs ends in 5 days

-- Covid cases in Mich. up about 77%

-- WH rejecting calls fro..."
nicopitney,"RT @ryangrim: Some really important pieces of news in this @lhfang piece on new White House disclosures. 

Susan Rice's is particularly int..."
nicopitney,RT @GrimKim: There is a constant police presence at Amazon's Bessemer warehouse. They've kicked me off their property a few times already....
nicopitney,Uniformed off-duty local police are patrolling Amazon's Bessemer warehouse and confronting union organizers. https://t.co/ComDdOyOvq
nicopitney,"We have documented how Amazon had Bessemer's county government change traffic lights.

When we tried to document ho... https://t.co/uXqzgyBaIA"
nicopitney,"RT @MorePerfectUS: 1. Please pay attention to what's happening to the baristas, bakers, and others at @ColectivoCoffee.

In 7 days, they de..."
nicopitney,RT @FrankSharry: There's no migrant 'surge' at the U.S. southern border. Here's the data.  https://t.co/HQmeDLSmgT
nicopitney,RT @matthewstoller: 1. Here's a little story about how Google's search monopoly kills and harms a lot of people. There's no reason for this...
