username,text,cleaned_text
BadAstronomer,"This video by my friend @thephysicsgirl about a subterranean moving mud-gushing weird thingy is fascinating. Also,... https://t.co/KV7pPTu2P2",this video by my friend about a subterranean moving mud gushing weird thingy is fascinating also
BadAstronomer,@MsInformation @david_blue @get_repost It was a good day.,it was a good day
BadAstronomer,&lt;chef's kiss&gt; from @Stonekettle https://t.co/ktG6rpBWCz,&ltchefs kiss&gt from
BadAstronomer,"@notmynamebutdeb Hmmm, good point.",hmmm good point
BadAstronomer,#CancelCulture https://t.co/3qIFo7S6pB,
BadAstronomer,#CancelCulture https://t.co/9dV9Pkshj4,
BadAstronomer,"You want cancel culture? I got yer cancel culture.

#CancelCulture https://t.co/8f1Dah3Q3x",you want cancel culture i got yer cancel culture
BadAstronomer,@DavidBlue Nuts. Obsidianne Cowern. Missed the S.,nuts obsidianne cowern missed the s
BadAstronomer,@DavidBlue Is it Ruby Rose? Lou Diamond Phillips? Aqua Maureen O'Hara? Amber Benson? Calcite Ripken? Leucite Lawless? Obidianne Cowern?,is it ruby rose lou diamond phillips aqua maureen ohara amber benson calcite ripken leucite lawless obidianne cowern
BadAstronomer,@geekyjessica cc @peeweeherman,cc
BadAstronomer,@Stonekettle But at least it's a wet heat,but at least its a wet heat
BadAstronomer,@ChuckWendig @scalzi @AScalzi98 Yegads! Likewise. Hugs all around.,yegads likewise hugs all around
BadAstronomer,"One week from today! This will be so so cool, and you can find out how YOU can find planets. https://t.co/E8HUaMPwn2",one week from today this will be so so cool and you can find out how you can find planets
BadAstronomer,@kevinrns See my reply to the cartoon. You can try to be funny and still wind up being a dick.,see my reply to the cartoon you can try to be funny and still wind up being a dick
BadAstronomer,"#Repost @david_blue (@get_repost)

Bonus #TBT. Conquering and cataloging the universe with this weirdo. (Weirdo... https://t.co/kEBziqk4Ao",bonus  conquering and cataloging the universe with this weirdo weirdo
BadAstronomer,"Also

https://t.co/hSGNeBHFdO",also
BadAstronomer,#DBaD https://t.co/GTtdnUIlQK,
BadAstronomer,I could easily destroy this argument by saying Picasso's paintings are just chemistry. Love is just chemistry. The... https://t.co/7brVPbZMG1,i could easily destroy this argument by saying picassos paintings are just chemistry love is just chemistry the
BadAstronomer,@grempz Oh wow!,oh wow
BadAstronomer,@astrofalls Deserved.,deserved
BadAstronomer,"Sure, the world is still on fire but it is also still capable of surpassing beauty and awe. 

So stop what you're d... https://t.co/lEot2npCyU",sure the world is still on fire but it is also still capable of surpassing beauty and awe so stop what youre d
BadAstronomer,@stellerarts @spacegooose After I tweeted that I wondered how long you've been painting and then wondered on averag... https://t.co/NzUtGVTHfz,after i tweeted that i wondered how long youve been painting and then wondered on averag
BadAstronomer,@stellerarts @spacegooose I think that's pretty common in the creative arts. We copy or imitate a bit at first but... https://t.co/1D78IAowwE,i think thats pretty common in the creative arts we copy or imitate a bit at first but
BadAstronomer,"W O W

Congrats, @astrofalls, on the great image and making APOD! https://t.co/Wt6QT8whAU",w o wcongrats  on the great image and making apod
BadAstronomer,@cosmicpinot Nice. Let us know if you can now see dark energy with your eyes.,nice let us know if you can now see dark energy with your eyes
BadAstronomer,@RosemaryMosco @AstroKatie @erinbiba When I look at you I get solar retinopathy.,when i look at you i get solar retinopathy
