username,text
ProfBrianCox,@daraobriain @MLeonard94 Indeed - congratulations !
ProfBrianCox,"RT @HumanoidHistory: Cape Canaveral, May 13, 1965. https://t.co/TpV0S7cUyP"
ProfBrianCox,@ilhughes @jrf1968 Nice :-)
ProfBrianCox,@BarryHurford @EricIdle @jrf1968 Oh yes !
ProfBrianCox,@EricIdle @jrf1968 That's him.
ProfBrianCox,My friend and collaborator @jrf1968 just sent me a document entitled entropy.pdf. I'm a little reticent to open it.
ProfBrianCox,Really interesting article from @BadAstronomer on stars forming around supermassive black holes https://t.co/3BGTWLyH2h
ProfBrianCox,RT @NASASolarSystem: Here's how to download your own commemorative poster of OSIRIS-REx's departure from asteroid Bennu: https://t.co/Df4rl...
ProfBrianCox,"@EricIdle It's because you're still alive. It's one of those annoying ethics things. We have to wait, till, you kno... https://t.co/NXOfMwkE94"
ProfBrianCox,Magnificent - sounds like a great exhibition at @GalleryOldham if you're in the area https://t.co/73OjY0qnww
ProfBrianCox,"RT @AngryTheInch: A long time ago in a galaxy far far away, light set off on an epic journey. Travelling through the vastness of space for..."
ProfBrianCox,RT @chrislintott: ONE HOUR TO GO
ProfBrianCox,RT @EricIdle: Misprint Cinema.    Dial N for Murder.
ProfBrianCox,RT @mrchrisaddison: Spotify now entirely losing their minds. https://t.co/8aSZXv41ni
ProfBrianCox,"RT @royalsociety: Many happy returns to broadcaster, naturalist, and one of the world's foremost advocates for nature, Sir David Attenborou..."
ProfBrianCox,"In half an hour, I'll be putting your questions to a VERY knowledgable panel on  Covid vaccines. So .. if you have... https://t.co/oCBHuWwWIE"
ProfBrianCox,"RT @royalsociety: Join @ProfBrianCox, @katrina_lythgoe, @CMO_England Professor Chris Whitty, @wendybarclay11 and @ProfAbdoolKarim online to..."
ProfBrianCox,RT @TheOnion: Reporter Who Found 3 Angry Tweets About Issue Guesses That's An Article Right There https://t.co/rCDP1jeuav https://t.co/sy7L...
ProfBrianCox,This must get made ! https://t.co/na7gWOeuyh
ProfBrianCox,@robinince I had no idea Schopenhauer was a poodle groomer.
ProfBrianCox,@matthewcobb Magnificent!
ProfBrianCox,"RT @SLSingh: @ProfBrianCox Hello Brian, last year, you tweeted about my Maths Masterclasses &amp; 350 students attended tutorials for 24 weeks...."
ProfBrianCox,RT @BBCArchive: Happy Star Wars Day. Here's Carrie Fisher discussing what appealed to her about the role of Princess Leia. #maythe4thbewith...
ProfBrianCox,@3Disruptor Yep.
ProfBrianCox,"Working on a project that caused me to alight on this quote from Ludwig Boltzmann. ""Schopenhauer was a degenerate,... https://t.co/ado11YTL9R"
