username,text
RichardDawkins,"RT @center4inquiry: Happy Friday. That's a thing humans say to each other, yes? I'm catching on! It's time for The Morning Heresy news roun..."
RichardDawkins,"RT @center4inquiry: Oh hey. It's time once again for The Morning Heresy news roundup thread thing. We be busy today! 

https://t.co/eCKEFxa..."
RichardDawkins,The Hands That Help - from the @rdfrs Newsletter https://t.co/qhLZlQCxMk
RichardDawkins,"RT @center4inquiry: Welcome to The Morning Heresy news roundup for this 12th day of May, which a quick google told me is Root Canal Appreci..."
RichardDawkins,'Christopher Hitchens: the last interview &amp; other conversations' is a fine collection. The actual Last Interview pr... https://t.co/epg7Ozr1oI
RichardDawkins,"I'm greatly enjoying 'Christopher Hitchens: the last interview &amp; other conversations'. Nice evisceration of a ""soph... https://t.co/Wz78LhZApG"
RichardDawkins,"For an object lesson in how to write perfect, seemingly effortless English prose, you'll struggle to find anything... https://t.co/HiVm9n2gpx"
RichardDawkins,"RT @center4inquiry: The Morning Heresy returns with another bunch of news and links! I, your oft-frazzled Morning Heretic, is back after ge..."
RichardDawkins,RT @center4inquiry: Thursday at 7pm ET on Skeptical Inquirer Presents: Nina Burleigh Exposes the Failed COVID Response https://t.co/GiMjmEX...
RichardDawkins,"It's dead centre, shaped like an S.  Look for a repeated triangle pattern along the back.

 For me it's not a case... https://t.co/HRfBShngQJ"
RichardDawkins,"Beethoven was moved to tears while writing this late quartet movement, and you can understand why. And he would wee... https://t.co/kG0hQWtUjE"
RichardDawkins,Tomorrow morning I will be talking about Books Do Furnish a Life at @StratLitFest. You can get your ticket here:... https://t.co/DdY6ujX7UA
RichardDawkins,https://t.co/8xEHEdwzBD
RichardDawkins,"Of all camouflaged animals, this might be the most invisible I've ever (eventually) seen. https://t.co/UjNPr85yK4"
RichardDawkins,https://t.co/2WX0P2Sncd
RichardDawkins,Next week I will be appearing at @StratLitFest to talk about Books Do Furnish a Life. You can find out more and boo... https://t.co/I0wPm6rw6W
RichardDawkins,"A respectul, civilised exchange between two leading ex-Muslims.
https://t.co/UrWD8Yklha"
RichardDawkins,https://t.co/qaxkEmCA96
