username,text,cleaned_text
bengoldacre,RT @AliciaRidout: Such a useful thread here @theRCOT. Need good data to build focused interventions. Over half of OTs using COG-OT told us..., such a useful thread here  need good data to build focused interventions over half of ots using cog ot told us
bengoldacre,RT @patrick_j_short: Long COVID is much rarer in health records than self reported. But for some not so obvious reasons. The term 'Long COV..., long covid is much rarer in health records than self reported but for some not so obvious reasons the term long cov
bengoldacre,RT @farazhmughal: This is an excellent and comprehensive thread - well done on impressive and fast collaborative work https://t.co/0JcF2v92..., this is an excellent and comprehensive thread   well done on impressive and fast collaborative work 
bengoldacre,"RT @bengoldacre: NEW OpenSAFELY PAPER

Prevalence of ""Long Covid"" in 58 MILLION patients' primary care records.

You read that correctly, t...", new opensafely paperprevalence of long covid in million patients primary care recordsyou read that correctly t
bengoldacre,RT @pippakbird: Interesting thread on surprisingly low prevalence of long Covid in primary care records https://t.co/YTWDDGLiW3, interesting thread on surprisingly low prevalence of long covid in primary care records
bengoldacre,RT @TeoWinterAndy: Good thread on challenges of primary care diagnostic coding for Long Covid showing impact of systems and big variation ...., good thread on challenges of primary care diagnostic coding for long covid showing impact of systems and big variation 
bengoldacre,If you have a new feature you'd like to see - and would use yourself - on our OpenCodeLists tool then get in touch... https://t.co/p9IzhjGKcc,if you have a new feature youd like to see   and would use yourself   on our opencodelists tool then get in touch
bengoldacre,"RT @openprescribing: BNF Codelists too!

https://t.co/09IhVTTHR6 https://t.co/XRI9Hg7Lmx", bnf codelists too
bengoldacre,"Do you work with NHS data? Do you build codelists in ICD, READ, SNOMED and the rest? It's hard work! We made a tool... https://t.co/djdmAmpLnP",do you work with nhs data do you build codelists in icd read snomed and the rest its hard work we made a tool
bengoldacre,"KLAXON

Prevalence of ""LONG COVID"" in 58 million patients' primary care records is oddly very low. Why? Patient pre... https://t.co/pj2S0YKNMz",klaxonprevalence of long covid in million patients primary care records is oddly very low why patient pre
bengoldacre,@gardenrichard we are looking at this! @drchrisbates @alexjohnwalker,we are looking at this
bengoldacre,RT @senseaboutsci: This v good paper and thread shows long covid rates questionably low and investigates problems in how it's being recorde..., this v good paper and thread shows long covid rates questionably low and investigates problems in how its being recorde
bengoldacre,"@bcdelaney1 already doing this, ping us an email if you'd like to chip in on the next phase!",already doing this ping us an email if youd like to chip in on the next phase
bengoldacre,"@bcdelaney1 @DrJohnParry @TPP_SystmOne @EMISHealth we've been discussing this already, and they are magnificent and on the case!",weve been discussing this already and they are magnificent and on the case
bengoldacre,"We'll update this analysis regularly. Preprint, not yet peer reviewed. As with all OpenSAFELY all code, codelists a... https://t.co/shTeNPslVC",well update this analysis regularly preprint not yet peer reviewed as with all opensafely all code codelists a
bengoldacre,OpenSAFELY is the largest fastest national TRE for NHS data in history. We built it in six weeks. We've been shippi... https://t.co/REGoQPoo8Z,opensafely is the largest fastest national tre for nhs data in history we built it in six weeks weve been shippi
bengoldacre,... praise @wellcometrust for believing in our vision of open source approaches to health data science and funding... https://t.co/lQaYLInT6e, praise for believing in our vision of open source approaches to health data science and funding
bengoldacre,"You need a tight, fluent, team combining them all!

Heroism: Analysis led by @alexjohnwalker Federated analytics fi... https://t.co/RGlAXuMIR7",you need a tight fluent team combining them allheroism analysis led by federated analytics fi
bengoldacre,"So, as ever, a testament to the power of team work. You can't do this by JUST being an expert epidemiologist, or a... https://t.co/HK8kWpghjH",so as ever a testament to the power of team work you cant do this by just being an expert epidemiologist or a
bengoldacre,To our mind this disparity can only be resolved by conducting prospective surveys and qualitative research with cli... https://t.co/3jP9wWPBR8,to our mind this disparity can only be resolved by conducting prospective surveys and qualitative research with cli
bengoldacre,"It's also possible that some clinicians are not choosing to use the diagnostic label Long Covid. Either way, the pr... https://t.co/XBRFDyxNj0",its also possible that some clinicians are not choosing to use the diagnostic label long covid either way the pr
bengoldacre,"Despite these issues around correct recording of clinicians' diagnoses, there are other possible explanations for t... https://t.co/dFHvNwN590",despite these issues around correct recording of clinicians diagnoses there are other possible explanations for t
bengoldacre,"Why? It is a high national priority to estimate the prevalence of long COVID, identify its causes and consequences,... https://t.co/7uPrFE61vX",why it is a high national priority to estimate the prevalence of long covid identify its causes and consequences
bengoldacre,Similarly NICE and other authoritative bodies giving guidance on long COVID should communicate to clinicians EVEN m... https://t.co/gALPaUi0or,similarly nice and other authoritative bodies giving guidance on long covid should communicate to clinicians even m
bengoldacre,In our view those managing SNOMED terminology for England should either update the Long Covid codes to include the... https://t.co/mzTCwa3ihG,in our view those managing snomed terminology for england should either update the long covid codes to include the
bengoldacre,... This has now resulted in a mismatch between formal clinical terminology and popular parlance among clinicians a... https://t.co/wioAvwT8yA, this has now resulted in a mismatch between formal clinical terminology and popular parlance among clinicians a
bengoldacre,"As far as we can see this was an active choice by NICE, after detailed consideration of terminology in their guidan... https://t.co/Siv5P7H4Uv",as far as we can see this was an active choice by nice after detailed consideration of terminology in their guidan
bengoldacre,"So what happens when a doctor tries to enter a diagnostic code for ""Long Covid"" on your record? Well the answer, ri... https://t.co/pxW8yEh9a3",so what happens when a doctor tries to enter a diagnostic code for long covid on your record well the answer ri
bengoldacre,"Because we work closely with @TPP_SystmOne and @EMISHealth on GP data already (see link below, they are covid data... https://t.co/CMa64G7B8Q",because we work closely with and on gp data already see link below they are covid data
bengoldacre,"But wait, what's that, TPP and EMIS listed separately? Yes, we can see if the Long Covid codes are being used diffe... https://t.co/pw0ZGB3w1C",but wait whats that tpp and emis listed separately yes we can see if the long covid codes are being used diffe
bengoldacre,"There is also substantial clustering of code usage by practice. (We're looking at this in more detail right now, bu... https://t.co/2DCAMz0zOo",there is also substantial clustering of code usage by practice were looking at this in more detail right now bu
bengoldacre,"Let's have a look. Firstly, is there variation in coding behaviour, or diagnostic practice, between clinicians or r... https://t.co/dGFEZpdhnj",lets have a look firstly is there variation in coding behaviour or diagnostic practice between clinicians or r
bengoldacre,"The rate of Long Covid, looking at diagnostic codes in primary care, is really low: 40 cases per 100,000 people. Th... https://t.co/Bpx4Jbb3LH",the rate of long covid looking at diagnostic codes in primary care is really low cases per people th
bengoldacre,"NEW OpenSAFELY PAPER

Prevalence of ""Long Covid"" in 58 MILLION patients' primary care records.

You read that corre... https://t.co/pVdoF2ScnS",new opensafely paperprevalence of long covid in million patients primary care recordsyou read that corre
bengoldacre,@geofoeg is this anywhere near oxford?,is this anywhere near oxford
