username,text,cleaned_text
neiltyson,"A pernicious source of bad decisions in our lives...

Knowing just enough about a topic to think you're right, but no... https://t.co/u6i417r6Nv",a pernicious source of bad decisions in our livesknowing just enough about a topic to think youre right but no
neiltyson,"@YakAtttack The Sun also raises tides on Earth, right now at about 1/3 the strength of the Moon's. That will contin... https://t.co/a9ZZAYU1Sr",the sun also raises tides on earth right now at about  3 the strength of the moons that will contin
neiltyson,"""To all those who are both curious &amp; restless, in search of our place in the universe.""

Might that be you?  Or som... https://t.co/DypiYgHNbl",to all those who are both curious &amp restless in search of our place in the universemight that be you or som
neiltyson,@MechanicaFrog Hmm. Looks like you don't follow my Twitter account.  That Coronavorus tweet might be my tenth on th... https://t.co/mNCEpWS7RF,hmm looks like you dont follow my twitter account that coronavorus tweet might be my tenth on th
neiltyson,"If you are refusing to get vaccinated against COVID-19, maybe it's because you are getting your medical advice from... https://t.co/nODq6bDDC7",if you are refusing to get vaccinated against covid 19 maybe its because you are getting your medical advice from
neiltyson,"Not to worry, the Moon's been spiraling away from us for nearly 4.5 billion years, shortly after the Solar System w... https://t.co/1vpGldr2Q3",not to worry the moons been spiraling away from us for nearly billion years shortly after the solar system w
neiltyson,"Long suspected of receding from Earth, the Moon received five corner-reflectors positioned by American &amp; Soviet mis... https://t.co/h8jSRsK3A1",long suspected of receding from earth the moon received five corner reflectors positioned by american &amp soviet mis
neiltyson,"Right now, the Moon, in its orbit, is spiraling away from Earth by about the width of two fingers every year. 

Jus... https://t.co/O09ewxx2S0",right now the moon in its orbit is spiraling away from earth by about the width of two fingers every year jus
neiltyson,"Mother's Day Wisdom...
Does my Mom have any regrets, in her 90+ years of life? [25 sec]

[Full Video: 35 mins]... https://t.co/iadLGoviJP",mothers day wisdomdoes my mom have any regrets in her + years of life 25 secfull video mins
neiltyson,NEWS FLASH: Astrophysicists recently discovered a planet in the Galaxy populated entirely by semi-autonomous Robots... https://t.co/FBZFdlVTZ2,news flash astrophysicists recently discovered a planet in the galaxy populated entirely by semi autonomous robots
neiltyson,"@chazglen Perhaps you missed this tweet:

https://t.co/sut3AX9ykE",perhaps you missed this tweet
neiltyson,"@LeviPlasma Every machine we have ever made, theorized, or observed, loses some amount of energy to heat. That's wh... https://t.co/5odeinMJ1E",every machine we have ever made theorized or observed loses some amount of energy to heat thats wh
neiltyson,"@Chirino89M @Apple @StarTalkRadio Nice. If true, then you're between 31 and 32 years old.  We should all hope to live 3-billion seconds.",nice if true then youre between and years old we should all hope to live  billion seconds
neiltyson,"On this, #StarWarsDay, I offer a Baby Yoda'fied version of:

""The good thing about science is that it's true whethe... https://t.co/2fcQgWfAwj",on this  i offer a baby yodafied version ofthe good thing about science is that its true whethe
neiltyson,May the fourth be with you.,may the fourth be with you
neiltyson,@robertpowell88 See the Tweet just before that one!,see the tweet just before that one
neiltyson,"@12253102 Since you don't follow me, you surely missed the Tweet that followed that one by mere miinutes.

https://t.co/sut3AX9ykE",since you dont follow me you surely missed the tweet that followed that one by mere miinutes
neiltyson,@TalisonComics Hmm. Didn't know about that one. Thanks.  But in both cases the exhibit was bigger than you. And that's the lesson here.,hmm didnt know about that one thanks but in both cases the exhibit was bigger than you and thats the lesson here
neiltyson,"In my other life, I host the @StarTalkRadio podcast.  Which has been nominated for a People's Choice Webby Award.... https://t.co/0rvWRPN6pu",in my other life i host the podcast which has been nominated for a peoples choice webby award
neiltyson,"@monu473 Thanks for your interest.   Been writing mostly books lately, but here is my research publication list... 
https://t.co/qPUvzi1Z9r",thanks for your interest been writing mostly books lately but here is my research publication list
neiltyson,@PaulCYallop Is it really any weirder than grated cheese on chili?,is it really any weirder than grated cheese on chili
neiltyson,That's how you do that. https://t.co/9oMkdfESwl,thats how you do that
neiltyson,@GodlessSmilodon : - ),   
neiltyson,"""Y'all Need Vaccine""

(First posted in February, but looks like I need to post this a second time.)

My weekly imag... https://t.co/FuxmNaY3Vy",yall need vaccinefirst posted in february but looks like i need to post this a second timemy weekly imag
neiltyson,@Seamus1014 @BabaBrinkman @Ellect217 I see what you did there.,i see what you did there
neiltyson,@BabaBrinkman @Ellect217 Looks like the arrows are irrelevant to the effect.  So no power of suggestion needed.,looks like the arrows are irrelevant to the effect so no power of suggestion needed
neiltyson,"@stivinet @NASA Needlessly aerodynamic, I would say.",needlessly aerodynamic i would say
neiltyson,"Don't tell anybody, but I never returned my Mars dune-buggy loaner to @NASA.  Maybe I should -- sometimes it's hard... https://t.co/cdeMAAlhYB",dont tell anybody but i never returned my mars dune buggy loaner to  maybe i should    sometimes its hard
neiltyson,@harman_geoff Indeed. A fact that forces one to pause -- and reflect on the frailty of our existence.,indeed a fact that forces one to pause    and reflect on the frailty of our existence
neiltyson,@thedaveygshow I see what you did there.,i see what you did there
neiltyson,"As the lone occupant of Apollo 11's Command Module, in 1969 he was officially the most isolated human there ever wa... https://t.co/tse0iVeMrf",as the lone occupant of apollo s command module in he was officially the most isolated human there ever wa
neiltyson,"""We Are Stardust""

Why? Chemical elements in our bodies are traceable to the life &amp; death of stars.

Weekly image &amp;... https://t.co/QKP9RIngEU",we are stardustwhy chemical elements in our bodies are traceable to the life &amp death of starsweekly image &amp
neiltyson,Resident of NYC and not yet vaccinated? Can now get a walk-in COVID Vaccine at the American Museum of Natural Histo... https://t.co/JJxZyDC6gT,resident of nyc and not yet vaccinated can now get a walk in covid vaccine at the american museum of natural histo
neiltyson,"Some of you asked:

A quarter-pounder (pre-cooked) burger on Mars would weigh 10.5 ounces back on Earth -- 2.6 times... https://t.co/eBevczch7y",some of you askeda quarter pounder pre cooked burger on mars would weigh ounces back on earth    times
neiltyson,"First signs of life on Mars, from @NASA's #ingenuity helicopter, or not. https://t.co/WIN5HtIyhO",first signs of life on mars from s helicopter or not
neiltyson,"How big is a Zillion, you ask?

Not sure. But I think it's a 1000 times larger than a Squillion, but only 1/1000th... https://t.co/ctsEz6VAwQ",how big is a zillion you asknot sure but i think its a times larger than a squillion but only  1000th
neiltyson,"@biancabonet1 @option8 @StarTalkRadio My bad.  Gajillion it is.

But add in the multiverse, and you get a bazillion.",my bad gajillion it isbut add in the multiverse and you get a bazillion
neiltyson,"@bhumikaefv @StarTalkRadio Expensive, but I'm thinking this book:

https://t.co/NKV2SaZp3L",expensive but im thinking this book
neiltyson,"Delighted to learn that of the zillion podcasts in the universe, @StarTalkRadio has been nominated for a People's C... https://t.co/cKOeAB948I",delighted to learn that of the zillion podcasts in the universe has been nominated for a peoples c
neiltyson,Maybe every day should be Earth Day.,maybe every day should be earth day
neiltyson,@MehulJayswal12 Good one.  Thanks.,good one thanks
neiltyson,"It's well known:

What flat-Earthers fear most is Sphere itself. https://t.co/f2j1EQrDEf",its well knownwhat flat earthers fear most is sphere itself
neiltyson,The #MarsHelicopter is badass. https://t.co/jQEUH3pKrf,the is badass
neiltyson,"""I'm going through a phase""

How much do you have in common with the Moon?

Weekly image &amp; link to a T-shirt. conce... https://t.co/6CXL6q4m5m",im going through a phasehow much do you have in common with the moonweekly image &amp link to a t shirt conce
neiltyson,The urge to repeat an aphorism is often greater than the need for it to be true.,the urge to repeat an aphorism is often greater than the need for it to be true
neiltyson,"What pigs do when we are not slaughtering them for food...

Future spectator sport -- the Pig Olympics. https://t.co/lSCMQ7MMvI",what pigs do when we are not slaughtering them for foodfuture spectator sport    the pig olympics
neiltyson,"@DavidFromDavis @steak_umm An innocent derailment.  Steak-umm doesn't follow me, so they didn't see my subsequent T... https://t.co/EneKfak4sb",an innocent derailment steak umm doesnt follow me so they didnt see my subsequent t
neiltyson,"@DavidFromDavis @steak_umm FYI: Posted minutes after the Tweet in question.

https://t.co/sut3AX9ykE",fyi posted minutes after the tweet in question
neiltyson,@TumorBob @steak_umm Won't argue that. Then read it whey you're done eating. It can wait.,wont argue that then read it whey youre done eating it can wait
neiltyson,"@BobbleHeadGuru @steak_umm Thanks.  I'm dating science as it's now practiced, from 1600 onward.  At that time Earth... https://t.co/ifmhW9yI10",thanks im dating science as its now practiced from onward at that time earth
neiltyson,"@PictureTheSouth @steak_umm Somebody didn't see the tweet that **immediatly** followed the one in question.

https://t.co/sut3AX9ykE",somebody didnt see the tweet that **immediatly** followed the one in question
neiltyson,"@steak_umm Hmm.  Looks like somebody didn't see:
https://t.co/VnIS6kuSkS

A four-minute read.  I'm sure your follow... https://t.co/jr4DJQnLHo",hmm looks like somebody didnt see four minute read im sure your follow
neiltyson,Are we wise enough to shepherd the future of our own civilization?,are we wise enough to shepherd the future of our own civilization
neiltyson,"Fun with electricity...

Depending on make &amp; model, those six listed items (see previous Tweet) each draw between 1,5... https://t.co/GM0sFgAFAz",fun with electricitydepending on make &amp model those six listed items see previous tweet each draw between 
neiltyson,"@LukeInSoCo @RollingStone Startup current draws are higher, sometimes by a factor of two.  But if you review the ra... https://t.co/nA1fnHmCsO",startup current draws are higher sometimes by a factor of two but if you review the ra
neiltyson,"If you plugged into the same electrical circuit and simultaneously ran a Toaster, a Hair Dryer on high, a Chain Saw... https://t.co/KvXgC9CKfK",if you plugged into the same electrical circuit and simultaneously ran a toaster a hair dryer on high a chain saw
neiltyson,"ALERT:  A weirdly obscure, unapologetically Geeky fact that involves The Rolling Stones, follows...",alert a weirdly obscure unapologetically geeky fact that involves the rolling stones follows
neiltyson,"@sudden_diarrhea @samuelhaycraft @painfulgas1 Somebody didn't read this 4-min essay:

https://t.co/VnIS6kuSkS",somebody didnt read this  min essay
neiltyson,@ErikEvenson @mikestinctively @Againsttrollin @UFCFightHub @StarTalkRadio Excellent and important point.  But I try... https://t.co/a9sWtq7GLa,excellent and important point but i try
neiltyson,@ErikEvenson @mikestinctively @Againsttrollin @UFCFightHub @StarTalkRadio Salt-water does quite well.,salt water does quite well
neiltyson,@PMagcub You missed an earlier tweet.  Not your fault.  Just letting you know.,you missed an earlier tweet not your fault just letting you know
neiltyson,"Inspired by an earlier tweet...

""Science is true whether or not you believe in it.""

Weekly image &amp; link to swag. Th... https://t.co/Gazf97ikDb",inspired by an earlier tweetscience is true whether or not you believe in itweekly image &amp link to swag th
neiltyson,"@michaer27 @gotbeemans Of possible interest:
""Stick-In-the-Mud Astronomy""

[Text 2,000 words; 8 mins]
https://t.co/WRl4xry5MB",of possible intereststick in the mud astronomytext words mins
neiltyson,"@KazumaTRX Unfortunately, that's an excellent point.",unfortunately thats an excellent point
neiltyson,"if you have the urge to argue with my previous Tweet, before you do, please spend 4-mins reading this post:

[Text;... https://t.co/B1GDYdRyP3",if you have the urge to argue with my previous tweet before you do please spend  mins reading this posttext
neiltyson,"The good thing about Science is that it's true, whether or not you believe in it.",the good thing about science is that its true whether or not you believe in it
neiltyson,@Danner72 I see what you did there.,i see what you did there
neiltyson,@moissuperman @itsRicoche Hot Steam.,hot steam
neiltyson,"There's a pervasive chemical in the environment that's a potent solvent. Found in acid rain, it will asphyxiate you... https://t.co/RprHZxK98p",theres a pervasive chemical in the environment thats a potent solvent found in acid rain it will asphyxiate you
neiltyson,"@CaptSparrow14 Perhaps you already noticed -- one of that book's chapters: ""The Beginning of Science"" is on that ver... https://t.co/Kf7810LQwU",perhaps you already noticed    one of that books chapters the beginning of science is on that ver
neiltyson,"More of what Cows do when we're not eating them.

https://t.co/cQtnjpRGg6",more of what cows do when were not eating them
neiltyson,@AndrewW18952975 @ShannonLockhar3 @WalterIsaacson @PBS @camanpour Every moment of life is precious. Most humans who... https://t.co/rCVAJBpCoD,every moment of life is precious most humans who
neiltyson,"If interested, I was recently interviewed by @WalterIsaacson on @PBS's @camanpour &amp; Company, addressing some deep,... https://t.co/ZHC6uwGc0U",if interested i was recently interviewed by on s &amp company addressing some deep
neiltyson,"Not that anybody asked but if, in fact, anti-pasta were the antimatter counterpart to pasta, then a serving bowl of... https://t.co/uks2TE5eKI",not that anybody asked but if in fact anti pasta were the antimatter counterpart to pasta then a serving bowl of
