username,text
Valkyrae,@bellapoarch GIRL
Valkyrae,@bellapoarch IM PROUDDDDDDDDDDDDD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Valkyrae,@Natsumiii @fuslie @bellapoarch youre my favorite coffee bean ;__;
Valkyrae,@qtcinderella can i be Rudolf
Valkyrae,@fuslie @bellapoarch how can you be one of my favorite human beans in the world
Valkyrae,"so um.. if any of my friends have any upcoming movies or music videos and need an extra, I have some experience "
Valkyrae,"New YouTube video! 

Behind the Scenes of the making of @bellapoarch 's music video, Build a B*tch! 

Enjoy ... https://t.co/33FCcFVvSp"
Valkyrae,"@juniorl75990814 its not ready yet, need to reupload"
Valkyrae,"@GabeJRuiz he's flexing now, as he should"
Valkyrae,@sonii 
Valkyrae,@GabeJRuiz Don't make me talk about how we had a month to prepare the BTS Vlog and we're scrambling to get it up in time today GABE
Valkyrae,"@larrayxo 5'3.5"" "
Valkyrae,@brookeab Thinking about kicking you makes me want to cry LOL  I WOULD NEVER
Valkyrae,@KarlJacobs_ Wow karl you're always so helpful ty!
Valkyrae,@emmalangevinxo I only care about the loyalty anyways
Valkyrae,Did you see the music video?! :D https://t.co/yVO9IbEaj1
Valkyrae,@starsmitten_ You are glowing 
Valkyrae,"Happiest birf to ma roomie, ma Queen, ma inspiration, ma love and most importantly ma friend. Have the best day... https://t.co/nskjUwmPY1"
Valkyrae,@carrotsprout_ 
Valkyrae,@Corpse_Husband @Sykkuno @gawrgura Vouch
Valkyrae,@leahdb98 jkahsglkasjdlkashgliajgk
Valkyrae,@Sydeon honestly omen got that DUMPY
Valkyrae,@KarlJacobs_ @honkkarl it was the obvious answer!!!
Valkyrae,@honkkarl corn
Valkyrae,@bellapoarch ARE YOU NERVOUS
Valkyrae,@Sykkuno THE THINGGGGGGGGGG!!!!!
Valkyrae,@pokimanelol An actual QUEEN
Valkyrae,@starsmitten_ OK NOBODY ELSE GETS THINGS CELINE GETS THEM ALL HMPH
Valkyrae,@FrodoGate222 @AmongUsGame THEY STOLE YOUR ART FROM MY THUMBNAIL @RoboEye5
Valkyrae,@sonii stop leaking my valkyrae branded toilet paper 
Valkyrae,@RatedEpicz can you get unbanned already the server isn't the same without you -__--
Valkyrae,@RatedEpicz not sure but the thing definitely wont get you unbanned
Valkyrae,@cloakzy its not merch 
Valkyrae,@tommyinnit ok you kinda said it in that sentence. i am proud of you tommy
Valkyrae,"@pokelawls LOLL i got you, but its not a shirt huehue"
Valkyrae,@pokelawls whats my first name poke
Valkyrae,@tommyinnit only if you say PLEASE
Valkyrae,"@KarlJacobs_ whenever you wanna game, ill cancel my entire schedule "
Valkyrae,"@Natsumiii I will hand deliver it, my Queen"
Valkyrae,@MrsDrLupo Already got you both!!
Valkyrae,@Ninja Got you and Jess 
Valkyrae,@AriaSaki youre one of the most talented people i know aria. you have been and always will be more than a number!!!
