username,text,cleaned_text
pokimanelol,@Corpse_Husband THANKS C ,thanks c
pokimanelol,@Sykkuno thanks lil bean sprout ,thanks lil bean sprout
pokimanelol,@DisguisedToast thx.,thx
pokimanelol,@TaliaMar i'm so glad i peer pressured you into hopping on twitch hahahaha &lt;3,im so glad i peer pressured you into hopping on twitch hahahaha &lt3
pokimanelol,25! ,
pokimanelol,RT @Smix: Happy birthday to my  @pokimanelol feels like even in just the last two years we've grown and changed a lot but my admiration fo..., happy birthday to my feels like even in just the last two years weve grown and changed a lot but my admiration fo
pokimanelol,@yvonnie love you soooo much yvonne ,love you soooo much yvonne
pokimanelol,@brodinplett https://t.co/L37P3OQqd6,
pokimanelol,@Valkyrae thanks raebae !!! love uuu,thanks raebae  love uuu
pokimanelol,@DisguisedToast @Valkyrae @Corpse_Husband @Sykkuno @gawrgura vouch,vouch
pokimanelol,@peterparkTV thank u king!! ,thank u king
pokimanelol,@xChocoBars ILYYYY ,ilyyyy
pokimanelol,eid mubarak!  https://t.co/epQuyuTBLo,eid mubarak
pokimanelol,@Sydeon LMAO,lmao
pokimanelol,@DisguisedToast is this for the hot tub stream..,is this for the hot tub stream
pokimanelol,@rosiiwun @theyungjeff tru,tru
pokimanelol,@fuslie @100Thieves CONGRATS BB!! &lt;3,congrats bb &lt3
pokimanelol,@iGumdrop happy birthday lovey doveyyyy  can't wait to hug n kiss u when ur back home  have a lovely day w celine! ,happy birthday lovey doveyyyy cant wait to hug n kiss u when ur back home have a lovely day w celine
pokimanelol,"gartic phone made me literally cry of laughter, what a good freaking game 

ft. @LilyPichu @Sykkuno... https://t.co/MRygN6Qjkj",gartic phone made me literally cry of laughter what a good freaking game ft 
pokimanelol,@AriaSaki this hair.. the phonecase.. the bow.. probs my FAVVVV pics of you AND THAT'S SAYING A LOT ,this hair the phonecase the bow probs my favvvv pics of you and thats saying a lot
pokimanelol,@Smix @Fifflaren congrats ,congrats
pokimanelol,@QuarterJade @imane say fuckin less...,say fuckin less
pokimanelol,@plushyslol YES BISH,yes bish
pokimanelol,@BridgetDavidson congrats!! you look RADIANT ,congrats you look radiant
pokimanelol,"@jschlatt none taken, she knows it too",none taken she knows it too
pokimanelol,convinced otv to do a hot tub stream for my birthday lmaooo,convinced otv to do a hot tub stream for my birthday lmaooo
pokimanelol,@jschlatt just me and my girl https://t.co/qqMldVS5M6,just me and my girl
pokimanelol,@Greekgodx @Byron happy birthday byron. ,happy birthday byron
pokimanelol,@DisguisedToast LMAAAOOOO,lmaaaoooo
pokimanelol,is snapchat even real lmao https://t.co/j8bIeu5sTH,is snapchat even real lmao
pokimanelol,@CptPuffy sigh let's play minecraft bestie,sigh lets play minecraft bestie
pokimanelol,@CrankGameplays and plz don't assume others are flirting just based off one compliment ,and plz dont assume others are flirting just based off one compliment
pokimanelol,"@reechuuu @LilyPichu @yvonnie @annoyingaria me settin up the perfect shot 
   ",me settin up the perfect shot
pokimanelol,@VelvetIsCake dw i got you @dreamwastaken sir we are waitin ,dw i got you sir we are waitin
pokimanelol,@jschlatt if u need a cat babysitter til then hmu ,if u need a cat babysitter til then hmu
pokimanelol,@bearbubb just move on king ,just move on king
pokimanelol,am i the only one waiting for a new game to come out? ,am i the only one waiting for a new game to come out
pokimanelol,@brodinplett  someone come get ur mans,someone come get ur mans
pokimanelol,@CrankGameplays @RubberNinja i'll tweet this again in a year and i wanna see paragraph long replies from you both ,ill tweet this again in a year and i wanna see paragraph long replies from you both
pokimanelol,"@Jack_Septic_Eye it's 1 of the things that makes you a great person, friend, and streamer ",its of the things that makes you a great person friend and streamer
